,-0.10244143343541173,-0.08195314674832939,-0.061464860061247045,-0.0409765733741647,-0.020488286687082358,-1.3877787807814457e-17,0.02048828668708233,0.04097657337416466,0.06146486006124702,0.08195314674832938,0.1024414334354117,0.12292972012249404,0.1434180068095764,0.16390629349665875,0.18439458018374105,0.2048828668708234,0.22537115355790577,0.24585944024498813,0.2663477269320705,0.2868360136191528
thresh,-0.11268557677895291,0.11268557677895291,1,,,,,,,,,,,,,,,,,
unreg,1,2,10,42,506,3651,444,47,12,6,4,2,0,2,1,1,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['PP_0767' 'PP_5533'],[],['PP_0765' 'PP_0766'],['PP_2019'],['PP_2018'],[],['ppiB'],[],[]
