,-0.130873663401428,-0.1046989307211424,-0.07852419804085681,-0.05234946536057121,-0.02617473268028561,-2.7755575615628914e-17,0.026174732680285584,0.052349465360571196,0.07852419804085678,0.10469893072114236,0.13087366340142795,0.1570483960817136,0.18322312876199917,0.20939786144228476,0.2355725941225704,0.26174732680285595,0.28792205948314153,0.3140967921634271,0.3402715248437127,0.3664462575239984
thresh,-0.1439610297415708,0.1439610297415708,2,,,,,,,,,,,,,,,,,
unreg,1,1,0,25,352,4026,289,19,10,1,0,1,0,0,0,0,0,0,1,0
PrpR,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['fadD-I'],[],[],[],[],[],[],['fadB'],[]
PrpR_genes,[],[],[],['acnA-II'],[],['prpD'],['prpF'],['PP_2333'],[],[],[],[],[],[],['mmgF'],['prpC'],[],[],[],[]
