,-0.11949305005257341,-0.09776704095210552,-0.07604103185163763,-0.05431502275116974,-0.032589013650701854,-0.010863004550233965,0.010863004550233923,0.0325890136507018,0.0543150227511697,0.0760410318516376,0.09776704095210548,0.11949305005257335,0.14121905915304125,0.16294506825350916,0.184671077353977,0.2063970864544449,0.2281230955549128,0.2498491046553807,0.27157511375584864,0.2933011228563165
thresh,-0.10863004550233946,0.10863004550233946,2,,,,,,,,,,,,,,,,,
unreg,2,1,2,16,135,2282,2151,109,10,8,5,2,0,1,1,0,1,1,0,0
DctD-II,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
unreg_genes,['dksA' 'orn'],[],[],[],[],[],[],[],[],[],[],['PP_0594' 'hflC'],[],['PP_5337'],['gltP'],[],['PP_1067'],['dctD-II'],[],[]
DctD-II_genes,[],[],[],[],[],['ansB'],[],[],[],[],[],['gltL'],['gltJ'],['gltK'],['gltI'],[],[],[],[],[]
