,A,DctD-II
set27IT018,1.0627822433582772,0.023
set27IT019,0.9129690545872684,0.277
set27IT020,0.4393592977277026,0.153
set27IT021,0.464528012271147,0.408
set27IT024,0.1016994256448031,-0.314
set27IT025,0.2059277597242616,-0.241
set27IT028,-7.730425886493581,-1.923
set27IT029,-7.910016227423939,-2.891
set27IT030,1.703169008396764,0.201
set27IT031,1.9127395086839911,0.018
set27IT032,1.22637789739743,-0.139
set27IT033,1.5256560150180638,-0.228
set27IT034,1.1237862680652029,0.297
set27IT035,1.2274290943155783,0.075
set27IT036,1.7623325022948697,0.024
set27IT037,1.5102032248718793,-0.004
set27IT038,-1.7476828036921537,-0.79
set27IT039,-2.2205693946578724,-1.206
set27IT040,1.419313008751621,-0.462
set27IT041,1.0801025710409788,-0.476
set27IT042,0.8606884027120664,-0.176
set27IT043,1.250148705197479,0.179
set27IT044,-0.7425664863321468,-0.518
set27IT045,-0.8939303550501058,-0.805
set27IT046,1.72907144462423,0.337
set27IT047,1.1853233333683535,0.266
set27IT048,1.8020898113271575,0.674
set27IT049,1.5437980229906998,0.433
set27IT050,2.0552070698937124,0.093
set27IT051,1.603651562169378,-0.153
set27IT052,-0.5696938630373862,-0.325
set27IT053,0.1043827172697214,-0.286
set27IT054,1.4027858287357882,0.369
set27IT055,0.9980008392042028,0.325
set27IT056,1.4587577666835685,0.486
set27IT057,1.5850409385898268,0.219
set27IT058,-0.2255377791691646,0.078
set27IT059,0.0773331166199014,-0.247
set27IT060,1.1442382936415243,-0.074
set27IT061,1.4620451474332234,-0.02
set27IT062,1.0827862835870317,0.041
set27IT063,1.4399744990411565,0.192
set27IT064,1.0709518909482487,0.206
set27IT065,0.9032849407981804,0.022
set27IT066,1.8529446961966003,-0.233
set27IT067,2.1518253466556927,0.183
set27IT068,1.4869149724600532,0.206
set27IT069,3.1946428565009417,0.532
set27IT070,1.673394830394928,-0.045
set27IT071,1.6458204523728923,0.09
set27IT072,1.4588620312671725,0.105
set27IT073,1.3612467799549302,0.278
set28IT003,1.6224336268915736,0.084
set28IT004,1.797380414296177,0.449
set28IT005,0.6399372912296608,0.024
set28IT006,0.4144952353911496,0.074
set28IT007,1.808762802214463,0.314
set28IT008,2.0091094185642344,0.305
set28IT009,0.5290778342612452,-0.121
set28IT010,0.8769900606720337,-0.245
set28IT013,0.76247317936799,0.154
set28IT014,0.6664998791083424,0.177
set28IT017,0.7802233599115759,-0.587
set28IT018,1.1047908635037045,0.452
set28IT021,0.6554173287669629,0.166
set28IT022,0.8949413618313984,-0.144
set28IT023,0.5755789589555728,0.302
set28IT024,1.443112781935067,-0.116
set28IT027,-0.1622649440437743,-0.345
set28IT028,0.2276566488793227,-0.173
set28IT029,0.0324164273613545,0.094
set28IT030,0.3120380870181204,-0.361
set28IT031,0.6151499726346874,-0.001
set28IT032,0.3226452594709031,-0.075
set28IT035,0.5122449969851548,-0.023
set28IT036,0.2367715607903652,0.037
set28IT037,0.4617072214095403,-0.041
set28IT038,0.3640574370414118,-0.068
set28IT039,1.075699294236915,0.149
set28IT040,0.8028873320787869,0.112
set28IT041,-0.4372524395721126,-0.084
set28IT042,-0.2951476208838429,-0.418
set28IT045,-4.055742856249492,-2.427
set28IT046,-3.518315879141232,-1.986
set29IT004,1.2054397609991303,-0.196
set29IT005,1.3765617076109344,-0.084
set29IT006,1.0320819990014214,0.06
set29IT007,1.029937524787146,0.241
set29IT014,0.9630557419702532,0.091
set29IT015,0.5477214664903876,-0.279
set29IT057,0.5791238916590592,0.477
set29IT058,0.5890215040451395,-0.337
set100IT008,1.7309445546939075,0.145
set100IT009,1.1978035216330094,-0.159
set100IT010,1.6944916672941737,-0.195
set100IT011,1.4528455416151465,0.402
set100IT012,1.0737589386129092,0.036
set100IT013,1.5134654931059632,-0.077
set100IT014,1.354206961196064,0.336
set100IT015,1.036379725245851,-0.026
set100IT016,1.1147207673172128,-0.311
set100IT017,1.1094606967750489,0.377
set100IT018,0.8561496992954499,0.135
set100IT019,1.2362850560497172,-0.145
set100IT020,1.243225579872413,0.542
set100IT021,0.663315323678741,-0.075
set100IT022,1.1787229960130086,-0.107
set100IT023,1.4800739259026812,0.431
set100IT024,1.0788673218879563,0.037
set100IT025,1.4149287996984004,0.023
set100IT026,1.9503681256024643,0.404
set100IT027,1.0979591406403124,-0.126
set100IT028,1.7788899915044292,-0.006
set100IT029,1.626320055093892,0.353
set100IT030,1.1693684362132304,-0.051
set100IT031,1.44694418261219,-0.395
set100IT032,0.932108349671343,0.259
set100IT033,0.4357288402933482,-0.23
set100IT034,0.7847395573439878,-0.333
set100IT035,1.2325976887415495,0.57
set100IT036,0.4588492575949472,-0.313
set100IT037,0.753561759128809,-0.32
set100IT038,2.8597391017975067,0.555
set100IT039,2.044781302485624,-0.042
set100IT040,0.7069145630871714,-0.614
set100IT041,1.0784443249412552,0.153
set100IT042,0.4097473025014658,-0.241
set100IT043,1.2136617719765628,-0.002
set100IT044,1.350592010720205,0.467
set100IT045,1.0230308298212818,-0.183
set100IT046,2.006362498223756,-0.107
set101IT007,1.4111277172627652,0.138
set101IT008,2.48734246879232,0.342
set101IT009,1.235089241621884,-0.334
set101IT013,1.4574598281114384,0.226
set101IT014,2.096683480693361,0.315
set101IT015,1.0912202925160388,-0.479
set101IT016,1.68589437489697,0.218
set101IT017,2.073839360708424,-0.005
set101IT018,1.5442343851420668,-0.205
set101IT019,1.2423515225703048,0.118
set101IT020,1.61380906094987,0.288
set101IT021,0.9478533562936704,-0.027
set101IT022,0.8098637453546463,0.252
set101IT023,1.745774407549876,0.185
set101IT024,0.9544205550730608,-0.028
set101IT025,1.529546724054976,0.288
set101IT026,1.4492217598118362,0.102
set101IT027,1.37791980092324,-0.073
set101IT028,1.2086358835095623,0.214
set101IT029,1.10515016500236,0.357
set101IT030,1.4432592854791195,0.014
set101IT031,0.2368394318586139,-0.06
set101IT032,1.64693964406419,-0.087
set101IT033,1.4030359834410957,-0.391
set101IT034,1.5217501421176514,0.108
set101IT035,1.7975398313409303,0.233
set101IT036,1.186184795210601,-0.028
set101IT037,1.1256423819398116,0.053
set101IT038,1.5541948501013294,0.112
set101IT039,1.906042655503252,-0.188
set101IT040,0.5952116633538372,-0.061
set101IT041,2.076712937919724,0.306
set101IT042,1.2395304166458931,-0.161
set101IT043,1.6615175884399915,0.102
set101IT044,1.59740853438457,0.133
set101IT045,1.6841961104371286,0.078
set101IT046,1.8607447274274769,0.19
set101IT047,2.169116985397735,0.237
set101IT048,1.6619791012689749,0.209
