,-0.040122082843684626,0.040122082843684626,0.12036624853105388,0.20061041421842313,0.2808545799057924,0.36109874559316163,0.4413429112805309,0.5215870769679001,0.6018312426552694,0.6820754083426386,0.7623195740300079,0.8425637397173771,0.9228079054047464,1.0030520710921156,1.083296236779485,1.1635404024668543,1.2437845681542234,1.3240287338415926,1.404272899528962,1.4845170652163313
thresh,-0.08024416568736925,0.08024416568736925,1,,,,,,,,,,,,,,,,,
unreg,2597,2129,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],['trpE' 'clpA' 'metX' 'PP_4696' 'metZ'],[],[],[],[],[],[],[],['tal'],[],[],[],[],[],[],[],[],[]
