,A,ModR
set27IT020,0.5580158533927373,0.159
set27IT021,0.8509865671543505,0.198
set27IT024,-0.4647487400908249,0.186
set27IT025,-0.2472067768467705,0.272
set27IT028,-0.5523409961515093,0.329
set27IT029,-1.8220052893761916,0.156
set27IT030,0.269103789527188,0.108
set27IT031,0.1926698325980027,0.145
set27IT032,-0.2208373976404637,-0.002
set27IT033,-0.3588341051217364,0.208
set27IT034,0.0571323326088282,0.021
set27IT035,-0.2367463370652011,0.065
set27IT036,-0.3052381292282323,0.02
set27IT037,-0.5509277654722832,0.143
set27IT038,0.4941514907612561,0.07
set27IT039,0.0655919040269288,0.12
set27IT040,0.204263230264719,0.006
set27IT041,-0.1968169009377072,0.01
set27IT042,-0.6071325439539423,0.066
set27IT043,-0.611753782487511,0.165
set27IT044,0.1509019311025125,0.15
set27IT045,0.2558261513247511,0.137
set27IT046,-0.4317938250237726,-0.038
set27IT047,-0.0014784727929128,-0.017
set27IT048,0.0494147526186857,0.013
set27IT049,0.3491803773979086,0.023
set27IT050,0.3913065982853084,0.246
set27IT051,-0.1605278503264384,-0.054
set27IT052,0.2206102818588599,0.251
set27IT053,0.054438239612878,0.043
set27IT054,0.209567973457399,-0.076
set27IT055,0.0689992699483253,-0.005
set27IT056,-0.2901050552868746,-0.012
set27IT057,-0.2791953530055861,-0.045
set27IT058,-0.7890278724613818,0.048
set27IT059,-0.1268858092723308,0.002
set27IT060,0.2630910272250018,-0.018
set27IT061,0.0131138522831355,0.19
set27IT062,-0.0124812250694418,0.099
set27IT063,0.3499349387832028,0.045
set27IT064,-0.322825281078393,-0.035
set27IT065,0.164316604206623,0.07
set27IT066,0.5920733123724268,-0.043
set27IT067,-0.0304602708300267,-0.082
set27IT068,0.1105879036264056,-0.091
set27IT069,-0.4900084023833135,0.174
set27IT070,0.4395070744257662,-0.054
set27IT071,0.569983977559251,0.134
set27IT072,0.2565678636269791,0.149
set27IT073,0.5692586540515913,0.028
set28IT003,0.4343234215249581,0.028
set28IT004,0.2503462312862272,-0.048
set28IT005,0.6475304393050366,0.062
set28IT006,0.6146434228746112,-0.035
set28IT007,0.8458684542739262,-0.068
set28IT008,1.5262239787479708,0.026
set28IT009,0.7627030917169166,0.105
set28IT010,0.7195619077657686,-0.043
set28IT013,5.067997285898779,-0.036
set28IT014,3.80777491639688,-0.09
set28IT017,0.4505564836047602,-0.312
set28IT018,0.3042653837944166,-0.073
set28IT021,0.4270956799312047,-0.101
set28IT022,0.1376880967548436,0.073
set28IT023,-0.3327143312078194,-0.205
set28IT024,0.22148749215796,0.009
set28IT027,0.0357168474281532,0.007
set28IT028,-0.3578891968716683,-0.036
set28IT029,-0.7002393767266512,-0.075
set28IT030,0.2367288892507063,-0.062
set28IT031,-0.0826006948600736,-0.192
set28IT032,-0.1479079345903226,-0.077
set28IT035,0.1508723138735717,-0.043
set28IT036,-0.0660907556274894,0.116
set28IT037,0.7274353836162782,-0.043
set28IT038,0.9575936618515486,0.214
set28IT039,0.8625883958031432,-0.096
set28IT040,0.1752599070289951,-0.052
set28IT041,-0.2695942462160528,-0.123
set28IT042,0.2108000495799863,-0.161
set28IT045,0.1399340325545637,-0.174
set28IT046,1.2572946536322962,0.019
set29IT004,0.4337163628569261,-0.534
set29IT005,0.6246497521671107,-0.077
set29IT006,0.0072557326503396,-0.162
set29IT007,0.549347972727197,-0.229
set29IT014,0.3892939066471261,-0.237
set29IT015,0.1057526123818152,-0.185
set29IT057,1.1511077960054714,-0.057
set29IT058,0.1296112532182204,0.058
set100IT008,0.0344847543601386,0.128
set100IT009,0.2616234065233581,0.231
set100IT010,0.2879959778830803,0.251
set100IT011,0.6098717920874993,-0.042
set100IT012,0.3892732802275455,0.016
set100IT013,0.5752276427024381,0.032
set100IT014,0.2854824000626366,0.063
set100IT015,0.6988094369889327,-0.142
set100IT016,0.240339325093097,-0.029
set100IT017,13.300672291498854,-0.185
set100IT018,13.671592171042798,-0.138
set100IT019,10.613082163337058,0.054
set100IT020,0.1562408343559273,0.065
set100IT021,0.2981792162936709,0.04
set100IT022,0.191623940884926,0.144
set100IT023,7.854592656440032,-0.056
set100IT024,7.731919959049001,-0.051
set100IT025,8.367734189365734,0.011
set100IT026,0.6298013799605868,-0.132
set100IT027,-0.0500646645212581,-0.12
set100IT028,1.4847670092934526,0.069
set100IT029,0.4191902656193287,0.048
set100IT030,0.3010978972803623,-0.063
set100IT031,0.4776328317343932,0.072
set100IT032,0.290970279272548,-0.05
set100IT033,0.7308279537987228,-0.032
set100IT034,0.2479431366920089,0.259
set100IT035,0.3343696034207044,-0.021
set100IT036,1.0063741729819702,0.02
set100IT037,0.4425506958123778,0.101
set100IT038,0.9083669010920852,-0.071
set100IT039,0.4935588347295359,0.252
set100IT040,1.1880168580886945,0.263
set100IT041,1.720624170721122,-0.088
set100IT042,1.7696161878271368,0.008
set100IT043,1.4196896845710127,-0.011
set100IT044,0.8328273418222747,0.313
set100IT045,0.739359784906074,-0.048
set100IT046,0.4944020991825602,0.357
set101IT007,0.0693589674732077,0.192
set101IT008,0.1579394970238747,0.114
set101IT009,0.0793615042523721,-0.082
set101IT013,-0.1443646395299101,0.179
set101IT014,0.0304125390976817,0.076
set101IT015,-0.8384436551624056,-0.174
set101IT016,0.2267788651335608,0.033
set101IT017,0.0148648646721282,0.21
set101IT018,0.3271699426135632,-0.062
set101IT019,0.2147840468321209,-0.009
set101IT020,-0.2328876542321837,-0.035
set101IT021,0.4975390613930366,0.106
set101IT022,-0.0529357748968716,0.033
set101IT023,-0.4446543684914731,0.168
set101IT024,-0.2279258719997542,0.008
set101IT025,0.612837630135967,0.371
set101IT026,0.8951034905448959,0.111
set101IT027,1.028381927665103,0.075
set101IT028,0.1197049726664295,0.038
set101IT029,-0.4895482413766718,0.252
set101IT030,-0.0591164427721474,0.077
set101IT031,-0.1652023037637524,0.371
set101IT032,-0.3063120042821172,0.236
set101IT033,-0.1040125589956085,-0.176
set101IT034,-0.0286138635905094,0.095
set101IT035,-0.0778136019841981,0.241
set101IT036,-0.2031559389934852,0.025
set101IT037,-0.0623925540253054,0.147
set101IT038,-0.3945575737099314,-0.022
set101IT039,0.1383909177575946,0.117
set101IT040,0.0651229523900024,0.175
set101IT041,0.0816804518308074,0.29
set101IT042,-0.0344594535523644,-0.019
set101IT043,0.1065851025359014,0.136
set101IT044,-0.1896996631145167,0.118
set101IT045,0.3248113358960905,-0.016
set101IT046,1.1836694762845328,0.062
set101IT047,0.7567217730300196,0.139
set101IT048,0.8385839185287868,-0.071
