k,name,in_iM,gene_weight,regulator,function,category
21,fModule_22,True,0.2037464809355119,,,
70,fModule_71,False,-0.0337015653739472,,,
35,fModule_36,False,-0.0271475133559455,,,
46,fModule_47,False,0.0228267095863743,,,
26,fModule_27,False,-0.0192101483432428,,,
19,fModule_20,False,0.018675229453502,,,
53,fModule_54,False,-0.0182716493498414,,,
59,fModule_60,False,0.0181284028975262,,,
34,fModule_35,False,0.0180288808992498,,,
56,fModule_57,False,-0.0173416754193735,,,
60,fModule_61,False,-0.0171009924731049,,,
17,fModule_18,False,-0.0144589251226998,,,
55,fModule_56,False,0.0141809237204092,PydR,,
28,fModule_29,False,-0.0139544329971001,,,
39,fModule_40,False,-0.0131746912538739,,,
62,fModule_63,False,0.0125154803160763,,,
32,fModule_33,False,-0.0113252595451886,BirA,,
9,fModule_10,False,0.0112440051226759,,,
65,fModule_66,False,0.0107187102551747,,,
27,fModule_28,False,0.0101354861229315,VanR,,
36,fModule_37,False,-0.0101038095448717,,,
61,fModule_62,False,0.0087299310958093,PP_3603,,
76,fModule_77,False,-0.0086425422702339,PsrA,,
42,fModule_43,False,-0.0085286536060352,PhhR,,
1,fModule_2,False,0.0084865120790006,,,
6,fModule_7,False,-0.0082588863360945,GbdR,,
16,fModule_17,False,-0.0080603227540181,PedR1,,
63,fModule_64,False,-0.0078903919531174,,,
37,fModule_38,False,-0.0078260039575357,,,
50,fModule_51,False,-0.0077038756984383,,,
75,fModule_76,False,0.0073054818115287,,,
18,fModule_19,False,0.0071426638339531,,,
3,fModule_4,False,-0.0071277156377976,,,
23,fModule_24,False,0.006917811225182,,,
49,fModule_50,False,-0.0068515826511351,PP_2046,,
11,fModule_12,False,-0.0067020742500767,BirA,,
69,fModule_70,False,-0.0064258315008423,,,
72,fModule_73,False,-0.0063666951280811,RpoD,,
7,fModule_8,False,-0.0062569228448627,GltR-II,,
77,fModule_78,False,-0.0060609871619424,,,
5,fModule_6,False,0.0060308084292768,GcsR,,
14,fModule_15,False,0.0059433146161579,,,
45,fModule_46,False,0.0057942996251099,,,
47,fModule_48,False,0.005779902007853,,,
0,fModule_1,False,0.0057159880067582,,,
52,fModule_53,False,0.0054778277479018,PP_5350,,
31,fModule_32,False,-0.0054224697294471,,,
10,fModule_11,False,-0.0052966749885098,PrpR,,
29,fModule_30,False,0.0052550805786186,HutC,,
38,fModule_39,False,0.0048162959582691,,,
12,fModule_13,False,-0.0047738836848241,ModR,,
67,fModule_68,False,0.0046346331063138,,,
24,fModule_25,False,0.0045577611352865,PrpR,,
74,fModule_75,False,0.0041727570924291,,,
33,fModule_34,False,-0.0039141248436432,,,
68,fModule_69,False,0.0038048490446777,,,
82,fModule_83,False,-0.0037972981978992,,,
48,fModule_49,False,0.0036689686739948,,,
8,fModule_9,False,-0.0030177988476249,,,
22,fModule_23,False,0.0028550088617643,,,
66,fModule_67,False,0.0027863698808204,,,
57,fModule_58,False,-0.002781951091072,PrpR,,
78,fModule_79,False,0.00267627357098,,,
79,fModule_80,False,0.0023291790287662,,,
20,fModule_21,False,-0.0021345886933258,,,
58,fModule_59,False,0.0020482485770786,,,
81,fModule_82,False,0.0020037538577768,,,
40,fModule_41,False,0.0019333372598861,,,
83,fModule_84,False,-0.0016556962775728,,,
13,fModule_14,False,-0.0016115862864374,PP_3359,,
73,fModule_74,False,0.0014757311123805,,,
80,fModule_81,False,0.0014150099688372,,,
25,fModule_26,False,-0.0013495252882303,,,
71,fModule_72,False,0.0012970077389719,,,
30,fModule_31,False,-0.0012549017392635,,,
4,fModule_5,False,0.0010066956166128,BenR,,
64,fModule_65,False,0.0009407935501312,DctD-II,,
43,fModule_44,False,-0.0007630793736388,,,
2,fModule_3,False,0.0007042589002525,,,
54,fModule_55,False,0.0005912991533848,,,
44,fModule_45,False,0.0004824235218623,,,
51,fModule_52,False,0.0004534536755985,FleQ,,
41,fModule_42,False,8.851619548240025e-05,,,
15,fModule_16,False,-3.3263202949905264e-05,PcaR,,
