,-0.08557284428232875,-0.06417963321174656,-0.042786422141164376,-0.021393211070582188,0.0,0.021393211070582188,0.042786422141164376,0.06417963321174658,0.08557284428232875,0.10696605535291093,0.12835926642349313,0.14975247749407533,0.1711456885646575,0.19253889963523968,0.2139321107058219,0.23532532177640408,0.25671853284698626,0.27811174391756843,0.2995049549881506,0.32089816605873284
thresh,-0.09626944981761985,0.09626944981761985,2,,,,,,,,,,,,,,,,,
unreg,2,1,27,345,4065,242,24,4,3,1,2,3,1,1,1,0,2,2,0,0
PrpR,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['clpA'],['atoA' 'hbd'],['atoB' 'PP_3121' 'PP_4628'],['PP_3753'],['paaX'],['PP_2790'],[],['bktB' 'PP_2793'],['PP_2791' 'PP_2794'],[],[]
PrpR_genes,[],[],[],[],['prpD' 'acnA-II'],['prpF'],[],[],[],[],[],['mmgF'],['prpC' 'PP_2333'],[],[],[],[],[],[],[]
