,-0.1517605753979344,-0.11382043154845078,-0.07588028769896718,-0.037940143849483576,2.7755575615628914e-17,0.03794014384948363,0.07588028769896724,0.11382043154845081,0.15176057539793444,0.18970071924741808,0.22764086309690165,0.2655810069463852,0.30352115079586883,0.34146129464535246,0.379401438494836,0.4173415823443196,0.45528172619380325,0.4932218700432869,0.5311620138927705,0.569102157742254
thresh,-0.17073064732267618,0.17073064732267618,1,,,,,,,,,,,,,,,,,
unreg,0,1,2,70,4564,83,7,1,0,0,1,0,1,0,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['PP_2088'],[],['glnD'],[],[],[],['glnL'],['glnG'],[],[]
