,PP_0012
set1IT078,0.059
set1IT079,-0.13
set1IT080,-0.206
set1IT081,-0.145
set1IT082,-0.041
set1IT083,0.161
set1IT084,-0.471
set1IT085,-0.314
set1IT086,-0.142
set1IT087,-0.387
set5IT075,-0.111
set5IT076,-0.034
set5IT081,0.091
set5IT082,-0.174
set5IT083,-0.32
set5IT084,-0.203
set5IT085,-0.156
set5IT086,-0.243
set5IT087,-0.193
set5IT088,-0.158
set6IT057,-0.048
set6IT059,-0.11
set6IT061,-0.108
set6IT064,-0.074
set6IT065,-0.119
set7IT042,0.002
set7IT044,-0.067
set7IT045,-0.186
set7IT055,0.073
set7IT056,-0.283
set7IT057,-0.331
set7IT062,-0.059
set8IT058,0.088
set8IT059,-0.102
set8IT060,-0.02
set8IT062,-0.233
set8IT064,0.121
set8IT070,-0.066
set8IT073,0.187
set8IT080,-0.111
set8IT081,-0.087
set8IT082,-0.004
set8IT084,-0.22
set8IT085,-0.078
set8IT089,0.073
set8IT090,-0.183
set8IT092,-0.151
set8IT093,-0.04
set8IT094,-0.258
set8IT095,-0.178
set8IT096,-0.11
set9IT020,0.239
set9IT022,0.22
set9IT025,0.336
set10IT006,-0.225
set10IT008,0.002
set10IT010,-0.338
set10IT017,0.114
set10IT018,-0.056
set10IT019,-0.029
set10IT020,-0.271
set10IT021,-0.05
set10IT022,-0.075
set10IT023,-0.062
set10IT024,0.112
set10IT025,-0.087
set10IT026,-0.018
set10IT027,0.159
set10IT028,0.161
set10IT029,-0.102
set10IT031,-0.076
set10IT032,0.049
set10IT033,0.174
set10IT034,-0.043
set10IT035,0.053
set10IT036,-0.007
set10IT037,-0.114
set10IT043,0.083
set10IT044,-0.253
set10IT053,0.051
set12IT001,-0.044
set12IT002,-0.271
set12IT004,-0.243
set12IT007,-0.155
set12IT008,-0.039
set12IT009,-0.166
set12IT014,-0.145
set12IT015,0.018
set12IT016,-0.177
set12IT017,-0.1
set12IT023,-0.161
set12IT024,-0.16
set12IT025,-0.025
set12IT026,-0.204
set12IT027,-0.188
set12IT028,-0.216
set12IT029,-0.206
set12IT031,-0.376
set12IT032,-0.116
set12IT034,-0.089
set12IT037,-0.166
set12IT038,-0.208
set12IT039,-0.15
set12IT044,-0.317
set12IT046,-0.253
set12IT053,-0.218
set12IT054,-0.114
set12IT055,-0.078
set12IT056,-0.181
set12IT057,-0.297
set12IT058,-0.293
set12IT059,-0.238
set15IT054,-0.186
set15IT057,-0.177
set15IT058,-0.205
set15IT059,-0.177
set15IT060,-0.068
set15IT061,-0.496
set15IT062,-0.263
set15IT063,-0.512
