k,name,in_iM,gene_weight,regulator,function,category
18,fModule_19,False,-0.0404154339145788,,,
82,fModule_83,False,0.0341691833887895,,,
56,fModule_57,False,-0.0320663811223605,,,
57,fModule_58,False,0.0319298151170438,PrpR,,
5,fModule_6,False,0.0318295797967397,GcsR,,
68,fModule_69,False,-0.030476744466073,,,
64,fModule_65,False,0.029209577003828,DctD-II,,
28,fModule_29,False,0.0273605104024967,,,
72,fModule_73,False,0.027206921714901,RpoD,,
42,fModule_43,False,0.0253776383949337,PhhR,,
53,fModule_54,False,-0.024365750474081,,,
44,fModule_45,False,0.0239884685331018,,,
79,fModule_80,False,0.0239380104097102,,,
29,fModule_30,False,0.0230001552029859,HutC,,
60,fModule_61,False,-0.0223233422637106,,,
4,fModule_5,False,-0.0221926306191874,BenR,,
23,fModule_24,False,-0.0210512187611979,,,
55,fModule_56,False,-0.0208428824749229,PydR,,
39,fModule_40,False,-0.020676222832691,,,
62,fModule_63,False,0.0183278968018612,,,
9,fModule_10,False,0.01774512137475,,,
3,fModule_4,False,-0.0171964085992711,,,
75,fModule_76,False,0.0170091849416233,,,
51,fModule_52,False,0.0164900430234316,FleQ,,
71,fModule_72,False,-0.0162204956692899,,,
65,fModule_66,False,-0.0153981051625339,,,
66,fModule_67,False,0.0145743325000352,,,
10,fModule_11,False,-0.0144358361405247,PrpR,,
54,fModule_55,False,-0.0133406975061808,,,
74,fModule_75,False,0.0132889834212641,,,
22,fModule_23,False,0.012876865795913,,,
11,fModule_12,False,-0.012804729099484,BirA,,
63,fModule_64,False,-0.0125526857501478,,,
43,fModule_44,False,0.0120629477918959,,,
41,fModule_42,False,0.0117566729257413,,,
13,fModule_14,False,0.0115102027269874,PP_3359,,
14,fModule_15,False,0.0115031928339299,,,
25,fModule_26,False,-0.0108970003698273,,,
78,fModule_79,False,-0.0103668111482623,,,
7,fModule_8,False,-0.0103421375877773,GltR-II,,
0,fModule_1,False,0.0097645981569979,,,
1,fModule_2,False,-0.0097323605431653,,,
77,fModule_78,False,-0.0093567069181387,,,
81,fModule_82,False,-0.0091466042032575,,,
47,fModule_48,False,-0.0090869519606033,,,
67,fModule_68,False,0.0090608268150207,,,
73,fModule_74,False,-0.0084670629321474,,,
16,fModule_17,False,-0.0074555284304404,PedR1,,
2,fModule_3,False,-0.0073152432524439,,,
58,fModule_59,False,0.0072893634418889,,,
33,fModule_34,False,-0.0054051771778906,,,
70,fModule_71,False,-0.0051445667783842,,,
36,fModule_37,False,0.0049571830733962,,,
40,fModule_41,False,0.0045652575058055,,,
27,fModule_28,False,-0.0045332001702081,VanR,,
37,fModule_38,False,-0.0041508694886929,,,
20,fModule_21,False,0.0040919118566251,,,
21,fModule_22,False,0.0040918003469454,,,
52,fModule_53,False,-0.003556552453616,PP_5350,,
32,fModule_33,False,0.002974093676262,BirA,,
48,fModule_49,False,-0.0025607213072061,,,
31,fModule_32,False,0.0024457282134529,,,
35,fModule_36,False,-0.0023301598832918,,,
15,fModule_16,False,-0.0021679876663291,PcaR,,
8,fModule_9,False,-0.0021040053279088,,,
12,fModule_13,False,-0.0016327700270563,ModR,,
80,fModule_81,False,-0.0015582312708887,,,
59,fModule_60,False,0.0015344453493907,,,
34,fModule_35,False,-0.0015280007950759,,,
19,fModule_20,False,-0.0014584717342279,,,
17,fModule_18,False,0.0013335720886396,,,
6,fModule_7,False,-0.0013057791158858,GbdR,,
50,fModule_51,False,0.001208803431997,,,
30,fModule_31,False,-0.001031905911462,,,
45,fModule_46,False,0.0009237814551238,,,
76,fModule_77,False,0.0008849779218189,PsrA,,
61,fModule_62,False,0.0008671132920149,PP_3603,,
38,fModule_39,False,0.0008585575270189,,,
26,fModule_27,False,0.0007854858855069,,,
24,fModule_25,False,0.0007190827193358,PrpR,,
83,fModule_84,False,0.0005110594185998,,,
46,fModule_47,False,0.0003164945733546,,,
49,fModule_50,False,-6.187296991232706e-05,PP_2046,,
69,fModule_70,False,5.665230739529196e-05,,,
