,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.19549999999999998,0.7106423150924802,2.0,0.0,0.307,1.0,-0.698,,,,
1,set1__Glucose carbon source (20mM),0.238,0.09616652224137046,2.0,2.0,0.306,3.0,0.17,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.059,0.9079251070435269,2.0,4.0,-0.701,5.0,0.583,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.352,0.1513208511739212,2.0,6.0,0.245,7.0,0.459,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.053000000000000005,0.19798989873223333,2.0,8.0,0.193,9.0,-0.087,,,,
5,set5__D-Glucose carbon source,0.053500000000000006,0.10677312395916869,2.0,10.0,-0.022,11.0,0.129,,,,
6,set5__Levulinic Acid carbon source,0.0072500000000000064,0.34251265183444923,4.0,12.0,0.261,13.0,-0.155,14.0,0.32,15.0,-0.397
7,set5__Vanillin carbon source,-0.8714999999999999,0.041719300090006343,2.0,16.0,-0.901,17.0,-0.842,,,,
8,set5__p-Coumaric acid carbon source,-0.22999999999999998,0.3733523804664971,2.0,18.0,0.034,19.0,-0.494,,,,
9,set6__D-Glucose carbon source,-0.084,,1.0,20.0,-0.084,,,,,,
10,set6__Ferulic Acid carbon source,-0.095,,1.0,21.0,-0.095,,,,,,
11,set6__benzoic acid carbon source,-0.456,,1.0,22.0,-0.456,,,,,,
12,set6__Valerolactam carbon source,-0.36,,1.0,23.0,-0.36,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.499,,1.0,24.0,-0.499,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.163,,1.0,25.0,-0.163,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.2475,0.21425335469952392,2.0,26.0,-0.399,30.0,-0.096,,,,
16,set7__Valerolactam 10 mM carbon source,-0.735,,1.0,27.0,-0.735,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.325,,1.0,28.0,0.325,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.663,0.32951176003293114,2.0,29.0,-0.43,31.0,-0.896,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.414,,1.0,32.0,-0.414,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.549,,1.0,33.0,-0.549,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.762,,1.0,34.0,0.762,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.4155,0.13788582233137678,2.0,35.0,0.513,47.0,0.318,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.485,0.10182337649086289,2.0,36.0,0.413,49.0,0.557,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.004,,1.0,37.0,0.004,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.056,,1.0,38.0,0.056,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.497,,1.0,39.0,-0.497,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.416,,1.0,40.0,-0.416,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.6,,1.0,41.0,-0.6,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.576,,1.0,42.0,-0.576,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.099,,1.0,43.0,0.099,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.615,,1.0,44.0,-0.615,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.477,,1.0,45.0,0.477,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.346,,1.0,46.0,0.346,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.576,,1.0,48.0,0.576,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.082,,1.0,50.0,-0.082,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.177,,1.0,51.0,0.177,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,1.016,,1.0,52.0,1.016,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,1.387,,1.0,53.0,1.387,,,,,,
39,set10__L-Arginine carbon source,-0.541,,1.0,54.0,-0.541,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-1.318,,1.0,55.0,-1.318,,,,,,
41,set10__L-Histidine carbon source,-0.047,,1.0,56.0,-0.047,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,0.012,,1.0,57.0,0.012,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-1.057,,1.0,58.0,-1.057,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-0.392,,1.0,59.0,-0.392,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-0.099,,1.0,60.0,-0.099,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-0.421,,1.0,61.0,-0.421,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-0.304,,1.0,62.0,-0.304,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-0.043,,1.0,63.0,-0.043,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-0.301,,1.0,64.0,-0.301,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-0.135,,1.0,65.0,-0.135,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-0.352,,1.0,66.0,-0.352,,,,,,
