,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.0045000000000000005,0.02333452377915607,2.0,0.0,0.021,1.0,-0.012,,,,
1,set1__Glucose carbon source (20mM),-0.264,0.009899494936611674,2.0,2.0,-0.271,3.0,-0.257,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.2695,0.3033488091290289,2.0,4.0,-0.484,5.0,-0.055,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.1785,0.20152543263816605,2.0,6.0,0.036,7.0,0.321,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.185,0.004242640687119289,2.0,8.0,0.188,9.0,0.182,,,,
5,set5__D-Glucose carbon source,-0.3,0.21071782079359117,2.0,10.0,-0.449,11.0,-0.151,,,,
6,set5__Levulinic Acid carbon source,-0.5735,0.33965129176848424,4.0,12.0,-0.996,13.0,-0.692,14.0,-0.363,15.0,-0.243
7,set5__Vanillin carbon source,-0.2955,0.19445436482630057,2.0,16.0,-0.433,17.0,-0.158,,,,
8,set5__p-Coumaric acid carbon source,-0.1565,0.39527269068328,2.0,18.0,-0.436,19.0,0.123,,,,
9,set6__D-Glucose carbon source,-0.115,,1.0,20.0,-0.115,,,,,,
10,set6__Ferulic Acid carbon source,0.039,,1.0,21.0,0.039,,,,,,
11,set6__benzoic acid carbon source,0.116,,1.0,22.0,0.116,,,,,,
12,set6__Valerolactam carbon source,-0.119,,1.0,23.0,-0.119,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.213,,1.0,24.0,-0.213,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.535,,1.0,25.0,0.535,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.00449999999999999,0.3273904396893715,2.0,26.0,-0.236,30.0,0.227,,,,
16,set7__Valerolactam 10 mM carbon source,0.043,,1.0,27.0,0.043,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.257,,1.0,28.0,0.257,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.35650000000000004,0.22698127676088176,2.0,29.0,-0.517,31.0,-0.196,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.077,,1.0,32.0,0.077,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.244,,1.0,33.0,0.244,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.589,,1.0,34.0,0.589,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.1215,0.3514320702497141,2.0,35.0,0.127,47.0,-0.37,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.05299999999999999,0.4157787873376899,2.0,36.0,0.241,49.0,-0.347,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.043,,1.0,37.0,-0.043,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.837,,1.0,38.0,-0.837,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.272,,1.0,39.0,-0.272,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.13,,1.0,40.0,0.13,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.098,,1.0,41.0,0.098,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.194,,1.0,42.0,0.194,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.238,,1.0,43.0,-0.238,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.287,,1.0,44.0,-0.287,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.21,,1.0,45.0,-0.21,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.103,,1.0,46.0,-0.103,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.408,,1.0,48.0,-0.408,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.379,,1.0,50.0,-0.379,,,,,,
