,PP_t57
set1IT078,0.021
set1IT079,-0.012
set1IT080,-0.271
set1IT081,-0.257
set1IT082,-0.484
set1IT083,-0.055
set1IT084,0.036
set1IT085,0.321
set1IT086,0.188
set1IT087,0.182
set5IT075,-0.449
set5IT076,-0.151
set5IT081,-0.996
set5IT082,-0.692
set5IT083,-0.363
set5IT084,-0.243
set5IT085,-0.433
set5IT086,-0.158
set5IT087,-0.436
set5IT088,0.123
set6IT057,-0.115
set6IT059,0.039
set6IT061,0.116
set6IT064,-0.119
set6IT065,-0.213
set7IT042,0.535
set7IT044,-0.236
set7IT045,0.043
set7IT055,0.257
set7IT056,-0.517
set7IT057,0.227
set7IT062,-0.196
set8IT058,0.077
set8IT059,0.244
set8IT060,0.589
set8IT062,0.127
set8IT064,0.241
set8IT070,-0.043
set8IT073,-0.837
set8IT080,-0.272
set8IT081,0.13
set8IT082,0.098
set8IT084,0.194
set8IT085,-0.238
set8IT089,-0.287
set8IT090,-0.21
set8IT092,-0.103
set8IT093,-0.37
set8IT094,-0.408
set8IT095,-0.347
set8IT096,-0.379
set9IT020,-0.014
set9IT022,-0.113
set9IT025,0.064
set10IT006,-0.118
set10IT008,1.579
set10IT010,0.065
set10IT017,0.064
set10IT018,-0.032
set10IT019,0.105
set10IT020,-0.259
set10IT021,0.81
set10IT022,0.173
set10IT023,0.006
set10IT024,-0.172
set10IT025,0.336
set10IT026,-0.295
set10IT027,0.229
set10IT028,-0.046
set10IT029,0.164
set10IT031,0.021
set10IT032,-0.076
set10IT033,0.463
set10IT034,0.367
set10IT035,0.101
set10IT036,0.008
set10IT037,-0.496
set10IT043,0.371
set10IT044,0.123
set10IT053,-0.164
set12IT001,0.146
set12IT002,-0.41
set12IT004,-0.266
set12IT007,0.231
set12IT008,0.031
set12IT009,0.034
set12IT014,0.077
set12IT015,-0.456
set12IT016,-0.095
set12IT017,-0.676
set12IT023,-0.215
set12IT024,-0.751
set12IT025,-0.25
set12IT026,-0.133
set12IT027,-0.145
set12IT028,0.204
set12IT029,0.31
set12IT031,-0.383
set12IT032,-0.349
set12IT034,-0.271
set12IT037,-0.083
set12IT038,-0.039
set12IT039,0.257
set12IT044,-0.102
set12IT046,-0.338
set12IT053,-0.012
set12IT054,-0.364
set12IT055,-0.225
set12IT056,-0.14
set12IT057,-0.447
set12IT058,-0.175
set12IT059,-0.529
set15IT054,-0.269
set15IT057,0.207
set15IT058,0.298
set15IT059,0.067
set15IT060,-0.067
set15IT061,0.648
set15IT062,0.059
set15IT063,0.37
set15IT064,0.325
set15IT065,-2.692
set15IT066,-0.236
set15IT067,0.277
set15IT068,0.221
set15IT071,0.049
set15IT072,0.148
set15IT073,-0.204
set15IT074,-0.069
set15IT075,-0.156
set15IT076,-0.138
set15IT077,0.037
set15IT078,0.059
set15IT079,-0.251
set15IT080,0.571
set15IT081,-0.314
set16IT004,-0.427
set16IT005,-0.251
set16IT006,-0.367
set16IT007,-0.065
set16IT008,-0.211
set16IT009,0.142
set16IT010,-0.196
