,-0.19122256564089052,-0.16390505626362045,-0.13658754688635039,-0.10927003750908032,-0.08195252813181025,-0.05463501875454019,-0.02731750937727012,-5.551115123125783e-17,0.02731750937727001,0.05463501875454008,0.08195252813181014,0.10927003750908021,0.13658754688635028,0.16390505626362034,0.1912225656408904,0.21854007501816047,0.24585758439543054,0.2731750937727006,0.30049260314997067,0.32781011252724074
thresh,-0.20488132032952555,0.20488132032952555,2,,,,,,,,,,,,,,,,,
unreg,0,1,1,0,8,14,322,4061,285,27,8,1,0,1,0,0,0,1,0,0
RpoD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['lhgO'],[],[]
RpoD_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['gabD-I'],['gabT'],[],[]
