,-0.24872152033381995,-0.22384936830043795,-0.19897721626705595,-0.17410506423367395,-0.14923291220029195,-0.12436076016690994,-0.09948860813352794,-0.07461645610014594,-0.049744304066763945,-0.024872152033381945,5.551115123125783e-17,0.024872152033382056,0.049744304066764056,0.07461645610014606,0.09948860813352806,0.12436076016691006,0.14923291220029206,0.17410506423367406,0.19897721626705606,0.22384936830043806
thresh,-0.16166898821698295,0.16166898821698295,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,0,5,2,4,27,332,4024,293,23,11,5,1,1,2,0,0
unreg_genes,['leuA'],[],[],['acnA-II'],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_5188' 'truA'],[],[]
