,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.07100000000000001,0.042426406871192854,2.0,0.0,0.101,1.0,0.041,,,,
1,set1__Glucose carbon source (20mM),0.198,0.17819090885900998,2.0,2.0,0.324,3.0,0.072,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.223,0.043840620433565944,2.0,4.0,0.192,5.0,0.254,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.13,0.16263455967290594,2.0,6.0,-0.245,7.0,-0.015,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.1285,0.010606601717798222,2.0,8.0,0.121,9.0,0.136,,,,
5,set5__D-Glucose carbon source,0.0035000000000000005,0.024748737341529166,2.0,10.0,0.021,11.0,-0.014,,,,
6,set5__Levulinic Acid carbon source,-0.21175,0.18470223784964454,4.0,12.0,-0.028,13.0,-0.254,14.0,-0.114,15.0,-0.451
7,set5__Vanillin carbon source,-0.0895,0.3726452736853105,2.0,16.0,0.174,17.0,-0.353,,,,
8,set5__p-Coumaric acid carbon source,-0.016,0.34789653634378137,2.0,18.0,-0.262,19.0,0.23,,,,
9,set6__D-Glucose carbon source,0.314,,1.0,20.0,0.314,,,,,,
10,set6__Ferulic Acid carbon source,0.179,,1.0,21.0,0.179,,,,,,
11,set6__benzoic acid carbon source,0.388,,1.0,22.0,0.388,,,,,,
12,set6__Valerolactam carbon source,0.193,,1.0,23.0,0.193,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.093,,1.0,24.0,0.093,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.233,,1.0,25.0,0.233,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.46799999999999997,0.14424978336205568,2.0,26.0,0.366,30.0,0.57,,,,
16,set7__Valerolactam 10 mM carbon source,-0.118,,1.0,27.0,-0.118,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.13,,1.0,28.0,0.13,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.10550000000000001,0.17041273426595796,2.0,29.0,0.015,31.0,-0.226,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.268,,1.0,32.0,0.268,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.56,,1.0,33.0,0.56,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.468,,1.0,34.0,0.468,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.2825,0.18172644276494268,2.0,35.0,0.411,47.0,0.154,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.3015,0.4051721856198917,2.0,36.0,0.588,49.0,0.015,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.416,,1.0,37.0,-0.416,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.049,,1.0,38.0,0.049,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.453,,1.0,39.0,-0.453,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.255,,1.0,40.0,-0.255,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.2,,1.0,41.0,-0.2,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.003,,1.0,42.0,0.003,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.051,,1.0,43.0,-0.051,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.013,,1.0,44.0,-0.013,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.006,,1.0,45.0,0.006,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.303,,1.0,46.0,0.303,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.154,,1.0,48.0,-0.154,,,,,,
