,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.38350000000000006,1.2042028483606906,2.0,0.0,0.468,1.0,-1.235,,,,
1,set1__Glucose carbon source (20mM),0.43200000000000005,0.18101933598375622,2.0,2.0,0.304,3.0,0.56,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.643,0.6618519471906085,2.0,4.0,1.111,5.0,0.175,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.1755,0.11101576464628796,2.0,6.0,0.254,7.0,0.097,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.4625,0.4376990975544729,2.0,8.0,0.153,9.0,0.772,,,,
5,set5__D-Glucose carbon source,-0.621,0.5331585130146569,2.0,10.0,-0.998,11.0,-0.244,,,,
6,set5__Levulinic Acid carbon source,-0.262,0.3716369195868462,4.0,12.0,0.177,13.0,-0.126,14.0,-0.687,15.0,-0.412
7,set5__Vanillin carbon source,0.39899999999999997,1.1214713549618642,2.0,16.0,1.192,17.0,-0.394,,,,
8,set5__p-Coumaric acid carbon source,-0.3425,0.12940054095713818,2.0,18.0,-0.251,19.0,-0.434,,,,
9,set6__D-Glucose carbon source,-0.384,,1.0,20.0,-0.384,,,,,,
10,set6__Ferulic Acid carbon source,1.048,,1.0,21.0,1.048,,,,,,
11,set6__benzoic acid carbon source,-0.056,,1.0,22.0,-0.056,,,,,,
12,set6__Valerolactam carbon source,-0.496,,1.0,23.0,-0.496,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.023,,1.0,24.0,0.023,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-4.411,,1.0,25.0,-4.411,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.309,0.4440630585851518,2.0,26.0,0.005,30.0,-0.623,,,,
16,set7__Valerolactam 10 mM carbon source,-0.839,,1.0,27.0,-0.839,,,,,,
17,set7__L-Lysine 10 mM carbon source,-1.202,,1.0,28.0,-1.202,,,,,,
18,set7__D-Lysine 10 mM carbon source,-1.326,1.5400785694243004,2.0,29.0,-0.237,31.0,-2.415,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.145,,1.0,32.0,0.145,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.576,,1.0,33.0,-0.576,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.464,,1.0,34.0,0.464,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.03750000000000009,1.850498446365195,2.0,35.0,-1.346,47.0,1.271,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.2285,0.245366053071732,2.0,36.0,0.402,49.0,0.055,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-1.579,,1.0,37.0,-1.579,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.006,,1.0,38.0,0.006,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.468,,1.0,39.0,0.468,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.598,,1.0,40.0,0.598,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1.224,,1.0,41.0,1.224,,,,,,
