,PP_t12
set1IT078,0.468
set1IT079,-1.235
set1IT080,0.304
set1IT081,0.56
set1IT082,1.111
set1IT083,0.175
set1IT084,0.254
set1IT085,0.097
set1IT086,0.153
set1IT087,0.772
set5IT075,-0.998
set5IT076,-0.244
set5IT081,0.177
set5IT082,-0.126
set5IT083,-0.687
set5IT084,-0.412
set5IT085,1.192
set5IT086,-0.394
set5IT087,-0.251
set5IT088,-0.434
set6IT057,-0.384
set6IT059,1.048
set6IT061,-0.056
set6IT064,-0.496
set6IT065,0.023
set7IT042,-4.411
set7IT044,0.005
set7IT045,-0.839
set7IT055,-1.202
set7IT056,-0.237
set7IT057,-0.623
set7IT062,-2.415
set8IT058,0.145
set8IT059,-0.576
set8IT060,0.464
set8IT062,-1.346
set8IT064,0.402
set8IT070,-1.579
set8IT073,0.006
set8IT080,0.468
set8IT081,0.598
set8IT082,1.224
set8IT084,0.54
set8IT085,0.804
set8IT089,-0.024
set8IT090,0.791
set8IT092,-0.088
set8IT093,1.271
set8IT094,-0.269
set8IT095,0.055
set8IT096,0.948
set9IT020,1.247
set9IT022,-0.367
set9IT025,1.11
set10IT006,0.161
set10IT008,0.075
set10IT010,-0.905
set10IT017,-0.594
set10IT018,0.288
set10IT019,0.296
set10IT020,0.197
set10IT021,-0.206
set10IT022,0.328
set10IT023,-0.044
set10IT024,0.082
set10IT025,0.143
set10IT026,-0.603
set10IT027,-0.427
set10IT028,-0.542
set10IT029,-0.437
set10IT031,0.068
set10IT032,-0.979
set10IT033,-2.135
set10IT034,-0.295
set10IT035,-0.07
set10IT036,0.444
set10IT037,-0.085
set10IT043,0.11
set10IT044,-0.189
set10IT053,-1.386
set12IT001,-0.506
set12IT002,-0.189
set12IT004,0.284
set12IT007,-1.659
set12IT008,-0.193
set12IT009,0.23
set12IT014,0.559
set12IT015,-0.406
set12IT016,0.46
set12IT017,0.317
set12IT023,-0.28
set12IT024,0.173
set12IT025,0.26
set12IT026,-0.208
set12IT027,-0.445
set12IT028,0.19
set12IT029,0.636
set12IT031,0.096
set12IT032,-0.546
set12IT034,-1.462
set12IT037,-0.4
set12IT038,0.311
set12IT039,0.604
set12IT044,0.243
set12IT046,-0.003
set12IT053,-0.404
set12IT054,0.41
set12IT055,-0.624
set12IT056,-0.861
set12IT057,0.05
set12IT058,-0.232
set12IT059,-0.615
set15IT054,0.358
set15IT057,-0.843
set15IT058,-0.2
set15IT059,0.435
set15IT060,-0.383
set15IT061,-0.874
set15IT062,-0.462
set15IT063,-0.904
set15IT064,-1.352
set15IT065,0.581
set15IT066,-0.468
set15IT067,0.666
set15IT068,-0.232
set15IT071,-0.245
set15IT072,-0.134
set15IT073,0.455
set15IT074,-0.858
set15IT075,0.531
set15IT076,-0.248
set15IT077,-4.785
set15IT078,-0.206
set15IT079,-1.161
set15IT080,-0.473
set15IT081,-0.218
set16IT004,-0.022
set16IT005,-0.022
set16IT006,0.385
set16IT007,0.156
set16IT008,0.292
set16IT009,-0.828
set16IT010,0.859
set16IT011,-0.161
set16IT012,-0.151
set16IT013,0.25
set16IT014,-1.385
set16IT015,-0.606
set27IT004,0.028
set27IT005,0.203
set27IT006,-0.133
set27IT007,0.748
set27IT008,-0.256
set27IT009,-0.087
set27IT010,0.128
set27IT011,-0.599
set27IT012,0.135
set27IT013,0.057
set27IT014,0.65
set27IT015,-0.063
set27IT016,0.298
set27IT017,-0.395
set27IT018,0.39
set27IT019,0.093
set27IT020,-0.038
set27IT021,0.345
set27IT024,-0.887
set27IT025,-0.172
set27IT028,-0.295
set27IT029,-0.462
set27IT030,-0.161
set27IT031,0.443
set27IT032,-0.878
set27IT033,0.03
set27IT034,0.526
set27IT035,0.034
set27IT036,0.596
set27IT037,-0.12
set27IT038,0.499
set27IT039,0.527
set27IT040,0.302
set27IT041,-0.047
set27IT042,0.034
set27IT043,-0.248
set27IT044,-0.016
set27IT045,0.025
set27IT046,0.565
set27IT047,0.478
set27IT048,0.324
set27IT049,0.185
set27IT050,0.239
set27IT051,0.532
set27IT052,0.421
set27IT053,0.471
set27IT054,0.336
set27IT055,-0.291
set27IT056,0.131
set27IT057,-0.097
set27IT058,-0.33
set27IT059,0.124
set27IT060,-0.004
set27IT061,-0.045
set27IT062,-0.092
set27IT063,0.306
set27IT064,0.393
set27IT065,-0.86
set27IT066,-0.21
set27IT067,-0.442
set27IT068,-0.04
set27IT069,-0.121
set27IT070,0.567
set27IT071,-0.396
set27IT072,0.5
set27IT073,0.225
set28IT003,0.688
set28IT004,-0.436
set28IT005,-0.246
set28IT006,-0.069
set28IT007,0.066
set28IT008,0.28
set28IT009,0.208
set28IT010,-0.02
set28IT013,0.04
set28IT014,-0.552
set28IT017,0.31
set28IT018,0.375
set28IT021,0.069
set28IT022,-0.015
set28IT023,0.027
set28IT024,-0.181
set28IT027,1.013
set28IT028,-0.053
set28IT029,-0.434
set28IT030,0.001
set28IT031,-0.64
set28IT032,0.256
set28IT035,0.644
set28IT036,-0.096
set28IT037,-0.479
set28IT038,-0.557
set28IT039,-0.35
set28IT040,0.382
set28IT041,0.586
set28IT042,0.46
set28IT045,0.163
set28IT046,-0.469
set29IT004,-1.436
set29IT005,-0.228
set29IT006,-0.142
set29IT007,-0.551
set29IT014,0.941
set29IT015,-1.412
set29IT057,-0.208
set29IT058,0.752
set100IT008,-0.338
set100IT009,-0.684
set100IT010,-0.405
set100IT011,0.03
set100IT012,-0.137
set100IT013,-0.239
set100IT014,-0.166
set100IT015,0.53
set100IT016,-0.478
set100IT017,-0.396
set100IT018,0.308
set100IT019,-0.59
set100IT020,-0.164
set100IT021,0.391
set100IT022,0.057
set100IT023,-0.249
set100IT024,0.211
set100IT025,-0.262
set100IT026,0.141
set100IT027,0.089
set100IT028,-0.146
set100IT029,-0.427
set100IT030,0.573
set100IT031,-0.472
set100IT032,-0.517
set100IT033,0.305
set100IT034,0.039
set100IT035,0.021
set100IT036,0.267
set100IT037,0.435
set100IT038,0.223
set100IT039,0.681
set100IT040,0.076
set100IT041,-0.188
set100IT042,0.509
set100IT043,-0.01
set100IT044,0.512
set100IT045,0.063
set100IT046,-0.39
set101IT007,-0.756
set101IT008,-0.388
set101IT009,0.709
set101IT013,-1.216
set101IT014,-1.18
set101IT015,0.524
set101IT016,-0.923
set101IT017,-1.23
set101IT018,0.609
set101IT019,-0.904
set101IT020,-0.323
set101IT021,0.54
set101IT022,-1.171
set101IT023,-0.341
set101IT024,0.363
set101IT025,-0.463
set101IT026,-0.231
set101IT027,0.082
set101IT028,-0.453
set101IT029,-0.26
set101IT030,0.689
set101IT031,-0.543
set101IT032,-0.796
set101IT033,0.146
set101IT034,-0.933
set101IT035,-0.256
set101IT036,-0.182
set101IT037,-0.823
set101IT038,-0.553
set101IT039,0.166
set101IT040,-0.539
set101IT041,-0.722
set101IT042,-0.184
set101IT043,-0.758
set101IT044,-0.287
set101IT045,0.426
set101IT046,-1.2
set101IT047,-0.647
set101IT048,0.676
