,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),-9.4450175514433,0.7366336803450939,2.0,0.0,-9.96589622206572,1.0,-8.92413888082088,,,,
1,set1__Glucose carbon source (20mM),-9.468728994043609,0.3801944473625706,2.0,2.0,-9.737567065943155,3.0,-9.199890922144064,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-7.83540236885316,0.38346437966743646,2.0,4.0,-7.564252105646823,5.0,-8.106552632059497,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-8.18537110864941,0.3047116523203379,2.0,6.0,-8.400834784311678,7.0,-7.969907432987141,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-5.314069029765159,0.11188953206847771,2.0,8.0,-5.393186876634569,9.0,-5.234951182895749,,,,
5,set5__D-Glucose carbon source,-10.18754227346205,0.14402268567735446,2.0,10.0,-10.289381691149206,11.0,-10.085702855774894,,,,
6,set5__Levulinic Acid carbon source,-9.896963593885433,1.0588575710151629,4.0,12.0,-11.104427050918677,13.0,-8.522127304351026,14.0,-9.954302225909895,15.0,-10.006997794362132
7,set5__Vanillin carbon source,-9.574397959290355,0.14958897201943602,2.0,16.0,-9.680173335796022,17.0,-9.468622582784686,,,,
8,set5__p-Coumaric acid carbon source,-10.426055223499592,0.20083635383486173,2.0,18.0,-10.28404247579418,19.0,-10.568067971205004,,,,
9,set6__D-Glucose carbon source,-4.539493421231053,,1.0,20.0,-4.539493421231053,,,,,,
10,set6__Ferulic Acid carbon source,-6.564135756694811,,1.0,21.0,-6.564135756694811,,,,,,
11,set6__benzoic acid carbon source,-3.6309759705863502,,1.0,22.0,-3.6309759705863502,,,,,,
12,set6__Valerolactam carbon source,-5.377472858003177,,1.0,23.0,-5.377472858003177,,,,,,
13,set6__D-Glucuronic Acid carbon source,-5.703198161644174,,1.0,24.0,-5.703198161644174,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-7.492965164663636,,1.0,25.0,-7.492965164663636,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-8.611441963965502,2.1111948236250284,2.0,26.0,-7.118601787774307,30.0,-10.104282140156696,,,,
16,set7__Valerolactam 10 mM carbon source,-7.718816520144558,,1.0,27.0,-7.718816520144558,,,,,,
17,set7__L-Lysine 10 mM carbon source,-6.037760796658145,,1.0,28.0,-6.037760796658145,,,,,,
18,set7__D-Lysine 10 mM carbon source,-8.160705301374925,1.562103950610141,2.0,29.0,-7.056131004980199,31.0,-9.265279597769652,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-1.8117303262893905,,1.0,32.0,-1.8117303262893905,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-6.484449102495469,,1.0,33.0,-6.484449102495469,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-7.767010940361737,,1.0,34.0,-7.767010940361737,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-8.22343320155214,1.1344939037452335,2.0,35.0,-9.025641534105194,47.0,-7.421224868999088,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-7.5047118492705875,1.0574385618921693,2.0,36.0,-8.252433827072691,49.0,-6.756989871468484,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-4.185862593113334,,1.0,37.0,-4.185862593113334,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-5.989148920385508,,1.0,38.0,-5.989148920385508,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-3.4823574386923,,1.0,39.0,-3.4823574386923,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-6.188605534104169,,1.0,40.0,-6.188605534104169,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-6.762106370174511,,1.0,41.0,-6.762106370174511,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-8.015756514679824,,1.0,42.0,-8.015756514679824,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-6.46430451268141,,1.0,43.0,-6.46430451268141,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-5.50302464694807,,1.0,44.0,-5.50302464694807,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-10.97975548579253,,1.0,45.0,-10.97975548579253,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-7.82069986746086,,1.0,46.0,-7.82069986746086,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-9.458647584790336,,1.0,48.0,-9.458647584790336,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-9.391930642601718,,1.0,50.0,-9.391930642601718,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,3.2641498957431825,,1.0,51.0,3.2641498957431825,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,2.6121165932424355,,1.0,52.0,2.6121165932424355,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,4.688779375415544,,1.0,53.0,4.688779375415544,,,,,,
39,set10__L-Arginine carbon source,-8.823120865062856,,1.0,54.0,-8.823120865062856,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-8.104313987524192,,1.0,55.0,-8.104313987524192,,,,,,
41,set10__L-Histidine carbon source,-12.193905382144449,,1.0,56.0,-12.193905382144449,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-0.0379103136105026,,1.0,57.0,-0.0379103136105026,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.3286958500015704,,1.0,58.0,-0.3286958500015704,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,0.1728638928262269,,1.0,59.0,0.1728638928262269,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-0.2044834847490242,,1.0,60.0,-0.2044834847490242,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,0.2686442013131382,,1.0,61.0,0.2686442013131382,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-0.3170672058734715,,1.0,62.0,-0.3170672058734715,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,0.1571457474761356,,1.0,63.0,0.1571457474761356,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-0.3511404603486945,,1.0,64.0,-0.3511404603486945,,,,,,
