,-0.1073845318308942,-0.06443071909853652,-0.02147690636617884,0.02147690636617884,0.06443071909853652,0.1073845318308942,0.1503383445632519,0.1932921572956096,0.23624597002796727,0.2791997827603249,0.32215359549268263,0.36510740822504034,0.408061220957398,0.45101503368975565,0.4939688464221134,0.536922659154471,0.5798764718868287,0.6228302846191863,0.665784097351544,0.7087379100839017
thresh,-0.12886143819707305,0.12886143819707305,1,,,,,,,,,,,,,,,,,
unreg,0,8,2485,2220,12,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],['leuB'],['ilvD' 'ilvC'],[],[],['ilvI'],[],[],[],[],[],['ilvE'],[],[],[]
