,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.34950000000000003,0.26657925650732844,2.0,0.0,0.538,1.0,0.161,,,,
1,set1__Glucose carbon source (20mM),0.166,0.4794183976444792,2.0,2.0,0.505,3.0,-0.173,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.481,0.07919595949289335,2.0,4.0,0.537,5.0,0.425,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.439,0.08485281374238571,2.0,6.0,0.379,7.0,0.499,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.536,0.21354624791833737,2.0,8.0,0.687,9.0,0.385,,,,
5,set5__D-Glucose carbon source,-0.2915,0.07283199846221441,2.0,10.0,-0.24,11.0,-0.343,,,,
6,set5__Levulinic Acid carbon source,-0.21075,0.15075449136482358,4.0,12.0,-0.127,13.0,-0.041,14.0,-0.327,15.0,-0.348
7,set5__Vanillin carbon source,-0.46549999999999997,0.14495689014324223,2.0,16.0,-0.568,17.0,-0.363,,,,
8,set5__p-Coumaric acid carbon source,-0.39,0.26870057685088805,2.0,18.0,-0.58,19.0,-0.2,,,,
9,set6__D-Glucose carbon source,0.559,,1.0,20.0,0.559,,,,,,
10,set6__Ferulic Acid carbon source,0.125,,1.0,21.0,0.125,,,,,,
11,set6__benzoic acid carbon source,-0.041,,1.0,22.0,-0.041,,,,,,
12,set6__Valerolactam carbon source,-0.096,,1.0,23.0,-0.096,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.069,,1.0,24.0,-0.069,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.054,,1.0,25.0,0.054,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.349,0.15273506473629428,2.0,26.0,-0.457,30.0,-0.241,,,,
16,set7__Valerolactam 10 mM carbon source,-0.366,,1.0,27.0,-0.366,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.606,,1.0,28.0,-0.606,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.057499999999999996,0.8025661966467315,2.0,29.0,-0.51,31.0,0.625,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.319,,1.0,32.0,0.319,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.283,,1.0,33.0,-0.283,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.319,,1.0,34.0,0.319,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.1395,0.1887975105768082,2.0,35.0,-0.006,47.0,-0.273,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.075,0.24748737341529162,2.0,36.0,0.1,49.0,-0.25,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.13,,1.0,37.0,-0.13,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.041,,1.0,38.0,0.041,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.099,,1.0,39.0,-0.099,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.06,,1.0,40.0,-0.06,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.236,,1.0,41.0,0.236,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.001,,1.0,42.0,-0.001,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.304,,1.0,43.0,0.304,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.268,,1.0,44.0,0.268,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.096,,1.0,45.0,-0.096,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.409,,1.0,46.0,0.409,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.24,,1.0,48.0,-0.24,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.385,,1.0,50.0,0.385,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.066,,1.0,51.0,-0.066,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.564,,1.0,52.0,-0.564,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,0.004,,1.0,53.0,0.004,,,,,,
39,set10__L-Arginine carbon source,-0.249,,1.0,54.0,-0.249,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,0.155,,1.0,55.0,0.155,,,,,,
41,set10__L-Histidine carbon source,0.182,,1.0,56.0,0.182,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-0.044,,1.0,57.0,-0.044,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.139,,1.0,58.0,-0.139,,,,,,
