,-0.17016083003528856,-0.14747271936391676,-0.12478460869254496,-0.10209649802117315,-0.07940838734980135,-0.05672027667842955,-0.034032166007057746,-0.011344055335685943,0.01134405533568586,0.03403216600705766,0.056720276678429465,0.07940838734980127,0.10209649802117307,0.12478460869254485,0.14747271936391668,0.1701608300352885,0.19284894070666028,0.21553705137803206,0.2382251620494039,0.2609132727207757
thresh,-0.18150488537097448,0.18150488537097448,1,,,,,,,,,,,,,,,,,
unreg,0,1,0,1,7,19,106,2281,2191,96,14,9,1,0,1,0,0,1,4,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_0165'],['PP_0166' 'PP_0168' 'paxB' 'tolC'],[]
