,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.698,1.5598775592975238,2.0,0.0,-1.801,1.0,0.405,,,,
1,set1__Glucose carbon source (20mM),-0.2685,0.5055813485483815,2.0,2.0,0.089,3.0,-0.626,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.22399999999999998,0.11172287142747452,2.0,4.0,0.145,5.0,0.303,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.016999999999999998,0.07636753236814713,2.0,6.0,0.071,7.0,-0.037,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.13799999999999998,0.3111269837220809,2.0,8.0,0.082,9.0,-0.358,,,,
5,set5__D-Glucose carbon source,-0.1555,0.02757716446627534,2.0,10.0,-0.175,11.0,-0.136,,,,
6,set5__Levulinic Acid carbon source,-0.14625,0.1969337875192235,4.0,12.0,-0.322,13.0,-0.309,14.0,-0.006,15.0,0.052
7,set5__Vanillin carbon source,-0.41200000000000003,0.31819805153394637,2.0,16.0,-0.637,17.0,-0.187,,,,
8,set5__p-Coumaric acid carbon source,-0.6665,0.4631549416771886,2.0,18.0,-0.994,19.0,-0.339,,,,
9,set6__D-Glucose carbon source,-0.606,,1.0,20.0,-0.606,,,,,,
10,set6__Ferulic Acid carbon source,-0.224,,1.0,21.0,-0.224,,,,,,
11,set6__benzoic acid carbon source,-0.766,,1.0,22.0,-0.766,,,,,,
12,set6__Valerolactam carbon source,0.182,,1.0,23.0,0.182,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.917,,1.0,24.0,-0.917,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.862,,1.0,25.0,-0.862,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.11700000000000002,0.23193102422918763,2.0,26.0,-0.281,30.0,0.047,,,,
16,set7__Valerolactam 10 mM carbon source,-0.367,,1.0,27.0,-0.367,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.683,,1.0,28.0,-0.683,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.07350000000000001,0.6272037149124676,2.0,29.0,-0.517,31.0,0.37,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-2.786,,1.0,32.0,-2.786,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-2.031,,1.0,33.0,-2.031,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-1.03,,1.0,34.0,-1.03,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.9265000000000001,0.5791204537917825,2.0,35.0,-1.336,47.0,-0.517,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.5475,0.2962777413171634,2.0,36.0,0.757,49.0,0.338,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.528,,1.0,37.0,0.528,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.174,,1.0,38.0,-0.174,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.778,,1.0,39.0,0.778,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.617,,1.0,40.0,0.617,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.907,,1.0,41.0,0.907,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1.064,,1.0,42.0,1.064,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",1.392,,1.0,43.0,1.392,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-1.713,,1.0,44.0,-1.713,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.878,,1.0,45.0,0.878,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.223,,1.0,46.0,0.223,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.322,,1.0,48.0,0.322,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.275,,1.0,50.0,0.275,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.328,,1.0,51.0,-0.328,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.21,,1.0,52.0,-0.21,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,1.578,,1.0,53.0,1.578,,,,,,
39,set10__L-Arginine carbon source,-0.249,,1.0,54.0,-0.249,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.303,,1.0,55.0,-0.303,,,,,,
41,set10__L-Histidine carbon source,-0.154,,1.0,56.0,-0.154,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-0.954,,1.0,57.0,-0.954,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.265,,1.0,58.0,-0.265,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-0.222,,1.0,59.0,-0.222,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,0.319,,1.0,60.0,0.319,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-0.128,,1.0,61.0,-0.128,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,0.585,,1.0,62.0,0.585,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-0.171,,1.0,63.0,-0.171,,,,,,
