,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),1.4092754862805381,0.0191814606205776,2.0,0.0,1.3957121454026649,1.0,1.4228388271584111,,,,
1,set1__Glucose carbon source (20mM),0.8795632376278597,0.6774314595036586,2.0,2.0,1.3585796164319968,3.0,0.4005468588237227,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.49438849666354157,0.3172576551243591,2.0,4.0,0.7187235359853189,5.0,0.2700534573417642,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.9000943479671177,0.7069895044272054,2.0,6.0,1.4000114207753114,7.0,0.4001772751589242,,,,
4,set1__Potassium Acetate Carbon Source (5mM),1.0647374561766532,0.21680350726118472,2.0,8.0,1.2180406863460638,9.0,0.9114342260072426,,,,
5,set5__D-Glucose carbon source,1.0830157283034914,0.13674910462097858,2.0,10.0,1.179711947502174,11.0,0.9863195091048088,,,,
6,set5__Levulinic Acid carbon source,-0.00777502839238136,0.23360014657088998,4.0,12.0,-0.2893919860473965,13.0,-0.1064714535306801,14.0,0.1481847647967583,15.0,0.2165785612117929
7,set5__Vanillin carbon source,0.2678664857096781,0.6148921455062699,2.0,16.0,-0.1669279200761506,17.0,0.7026608914955068,,,,
8,set5__p-Coumaric acid carbon source,1.07106533519255,0.33233359007810526,2.0,18.0,0.8360700000322516,19.0,1.3060606703528488,,,,
9,set6__D-Glucose carbon source,0.2415345113911204,,1.0,20.0,0.2415345113911204,,,,,,
10,set6__Ferulic Acid carbon source,-0.6820131399719253,,1.0,21.0,-0.6820131399719253,,,,,,
11,set6__benzoic acid carbon source,-0.0977033004268601,,1.0,22.0,-0.0977033004268601,,,,,,
12,set6__Valerolactam carbon source,-0.3408336737317982,,1.0,23.0,-0.3408336737317982,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.1661612958676789,,1.0,24.0,0.1661612958676789,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,1.8583082106208109,,1.0,25.0,1.8583082106208109,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.7214584430752412,0.9888326933227967,2.0,26.0,1.4206687459827485,30.0,0.022248140167734,,,,
