,-0.17579731009378255,-0.15235766874794487,-0.1289180274021072,-0.10547838605626952,-0.08203874471043185,-0.058599103364594174,-0.0351594620187565,-0.011719820672918824,0.011719820672918851,0.03515946201875653,0.0585991033645942,0.0820387447104319,0.10547838605626955,0.1289180274021072,0.1523576687479449,0.1757973100937826,0.19923695143962025,0.2226765927854579,0.2461162341312956,0.26955587547713333
thresh,-0.1640774894208637,0.1640774894208637,1,,,,,,,,,,,,,,,,,
unreg,2,1,1,3,9,17,73,2246,2273,83,12,5,3,3,0,0,0,1,0,0
unreg_genes,['PP_4696' 'nirD'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['plsX'],[],[]
