,-0.2276982582408504,-0.189748548534042,-0.15179883882723358,-0.11384912912042516,-0.07589941941361675,-0.03794970970680833,8.326672684688674e-17,0.03794970970680847,0.07589941941361691,0.11384912912042536,0.15179883882723375,0.18974854853404213,0.22769825824085058,0.265647967947659,0.3035976776544673,0.34154738736127577,0.3794970970680842,0.41744680677489265,0.4553965164817011,0.49334622618850943
thresh,-0.094874274267021,0.094874274267021,1,,,,,,,,,,,,,,,,,
unreg,1,1,5,3,3,61,4602,50,2,0,0,0,0,0,0,2,2,0,0,0
unreg_genes,['astB'],['astD'],['astA-I' 'PP_4482' 'hisQ' 'astE' 'astC'],['argT' 'hisM' 'hisP'],[],[],[],[],[],[],[],[],[],[],[],['argB' 'argG'],['argF' 'argA'],[],[],[]
