,-0.3701838003564746,-0.30848650029706215,-0.24678920023764972,-0.1850919001782373,-0.12339460011882486,-0.06169730005941243,0.0,0.06169730005941243,0.12339460011882486,0.1850919001782373,0.24678920023764972,0.30848650029706215,0.3701838003564746,0.431881100415887,0.49357840047529944,0.5552757005347119,0.6169730005941243,0.6786703006535368,0.7403676007129492,0.8020649007723615
thresh,-0.4010324503861808,0.4010324503861808,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,32,4651,47,0,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ridA'],[],[]
