,-0.12259075663648908,-0.10507779140270493,-0.08756482616892078,-0.07005186093513663,-0.05253889570135248,-0.03502593046756833,-0.017512965233784178,-2.7755575615628914e-17,0.017512965233784122,0.03502593046756827,0.05253889570135242,0.07005186093513657,0.08756482616892072,0.10507779140270487,0.12259075663648902,0.14010372187027317,0.15761668710405732,0.17512965233784147,0.19264261757162562,0.21015558280540977
thresh,-0.13134723925338115,0.13134723925338115,1,,,,,,,,,,,,,,,,,
unreg,0,1,1,10,23,72,613,3332,567,71,17,9,5,3,2,4,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_0803' 'PP_0806' 'PP_0805' 'oxyR'],['thiI'],['PP_0574'],[],[]
