,A,PhhR
set27IT017,1.0193816081382143,-0.034
set27IT018,0.7251728315000147,-0.011
set27IT019,0.7898937462038293,-0.047
set27IT020,0.0616673581478933,0.025
set27IT021,-0.0476853303003146,0.046
set27IT024,0.549061453331821,0.179
set27IT025,0.7830794423898424,0.186
set27IT028,-0.4749631149394591,0.357
set27IT029,-0.1213171575849875,0.299
set27IT030,1.3721577599025547,-0.005
set27IT031,1.926228652431704,-0.014
set27IT032,1.339664875591711,-0.044
set27IT033,1.2777146987025665,-0.016
set27IT034,0.8610326687415001,0.021
set27IT035,0.9761845159926896,-0.013
set27IT036,1.1052688794330827,0.044
set27IT037,1.7169334470450162,-0.052
set27IT038,1.434923620239704,-0.006
set27IT039,1.1023803570288913,0.048
set27IT040,1.8016434717329737,0.19
set27IT041,1.582263879825459,0.033
set27IT042,1.1756907584367935,-0.098
set27IT043,0.7136681792960522,0.094
set27IT044,1.3415118153290566,0.006
set27IT045,1.2820036916953668,-0.087
set27IT046,1.7856860421488638,-0.053
set27IT047,1.1690718380581422,-0.053
set27IT048,0.0886499542888729,0.123
set27IT049,0.4175443318493116,-0.091
set27IT050,1.0952838582286872,-0.022
set27IT051,1.636571243068354,-0.012
set27IT052,2.286222341155076,0.05
set27IT053,1.0934603918400765,0.091
set27IT054,0.5472945310588511,0.03
set27IT055,0.5286849379403856,0.04
set27IT056,0.7212053694620336,-0.055
set27IT057,1.1010919121886733,-0.025
set27IT058,0.3637930319899605,0.034
set27IT059,0.5271691811564403,-0.077
set27IT060,-0.2131680201082478,-0.099
set27IT061,-0.3676893074578385,-0.085
set27IT062,0.841634289615525,-0.041
set27IT063,1.5446266058463776,-0.055
set27IT064,12.584389617972493,3.294
set27IT065,12.026745198536869,2.773
set27IT066,1.7812044507742264,-0.019
set27IT067,1.4840084171195838,-0.048
set27IT068,1.150144903318258,0.03
set27IT069,0.9362416866585748,0.187
set27IT070,0.6408598061652655,0.021
set27IT071,0.4537960927876912,0.009
set27IT072,1.2584770312000155,-0.018
set27IT073,1.755740847981055,0.019
set28IT003,0.6308017132230856,0.084
set28IT004,1.1927115028877346,0.091
set28IT005,1.2444941281050486,-0.003
set28IT006,1.0314185451228302,0.054
set28IT007,1.205041875135369,0.089
set28IT008,0.989448499678688,0.048
set28IT009,1.5094343493911575,-0.085
set28IT010,1.0726036878015557,-0.009
set28IT013,1.730291462423483,0.049
set28IT014,1.3436674914337996,0.071
set28IT017,0.2248602333260052,0.033
set28IT018,0.0927001233893932,0.113
set28IT021,0.5880101527595951,-0.089
set28IT022,1.0077518251002775,-0.03
set28IT023,2.00572300913387,0.024
set28IT024,1.5266293398957376,-0.036
set28IT027,1.9244976631809725,0.313
set28IT028,2.6086448088542187,0.137
set28IT029,1.0952504884699976,-0.012
set28IT030,1.383315262275094,0.048
set28IT031,1.7907214062778485,0.047
set28IT032,1.3972527295987605,0.027
set28IT035,0.6923235049689234,0.072
set28IT036,-0.020786986421772,0.076
set28IT037,0.8387803238156993,0.016
set28IT038,1.2369671402552869,0.003
set28IT039,1.8080871399680551,-0.007
set28IT040,2.6108958407378817,0.038
set28IT041,1.0577044608684416,-0.067
set28IT042,0.7049663734713367,0.025
set28IT045,1.9531898532702132,0.106
set28IT046,1.5463152776938731,0.067
