,-0.2022355911318251,-0.16178847290546008,-0.12134135467909507,-0.08089423645273006,-0.04044711822636504,-2.7755575615628914e-17,0.040447118226364986,0.08089423645272997,0.12134135467909501,0.16178847290546006,0.20223559113182504,0.24268270935819003,0.28312982758455507,0.3235769458109201,0.36402406403728504,0.4044711822636501,0.44491830049001513,0.48536541871638017,0.5258125369427452,0.5662596551691101
thresh,-0.10111779556591255,0.10111779556591255,2,,,,,,,,,,,,,,,,,
unreg,1,1,0,2,62,4581,71,3,3,1,2,0,0,0,0,0,0,0,0,0
PP_5350,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
unreg_genes,['prpC'],['mmgF'],[],[],[],[],[],[],['panB' 'fadB' 'fadD-I'],['maeB'],['PP_0368' 'pcaF-II'],[],[],[],[],[],[],[],[],[]
PP_5350_genes,[],[],[],[],[],['PP_5350' 'zwf'],[],[],[],[],[],[],[],['glcB'],['aceA'],[],['PP_5659'],[],[],[]
