k,name,in_iM,gene_weight,regulator,function,category
29,fModule_30,False,-0.0114825142569942,HutC,,
60,fModule_61,False,-0.0103453369216791,,,
7,fModule_8,False,0.0082039009545754,GltR-II,,
40,fModule_41,False,0.007425006622343,,,
71,fModule_72,False,0.0069569696348974,,,
68,fModule_69,False,0.0063042137988213,,,
38,fModule_39,False,-0.0063003103318279,,,
2,fModule_3,False,0.0062982873835137,,,
37,fModule_38,False,0.0059772941963652,,,
39,fModule_40,False,0.0057488008340166,,,
13,fModule_14,False,-0.0057057890127291,PP_3359,,
66,fModule_67,False,-0.0055988069895834,,,
11,fModule_12,False,-0.0055933101543582,BirA,,
46,fModule_47,False,0.0053473470673676,,,
72,fModule_73,False,-0.005247518884732,RpoD,,
36,fModule_37,False,0.0051992038492572,,,
26,fModule_27,False,0.004948553398815,,,
30,fModule_31,False,-0.0048615970640588,,,
9,fModule_10,False,-0.0048337971748086,,,
82,fModule_83,False,0.004769080691777,,,
32,fModule_33,False,-0.004650763121444,BirA,,
4,fModule_5,False,-0.0044645662575624,BenR,,
1,fModule_2,False,0.0043931630166574,,,
47,fModule_48,False,0.0039382541598048,,,
22,fModule_23,False,-0.003617431241288,,,
69,fModule_70,False,0.0035246665084335,,,
23,fModule_24,False,0.0034033300622936,,,
34,fModule_35,False,-0.003244293069021,,,
56,fModule_57,False,0.0032379398026589,,,
35,fModule_36,False,0.0032320364493712,,,
33,fModule_34,False,-0.0032031537820589,,,
57,fModule_58,False,0.0031641436982469,PrpR,,
75,fModule_76,False,-0.0030701270073238,,,
8,fModule_9,False,0.0030519400366445,,,
14,fModule_15,False,-0.003002479829563,,,
6,fModule_7,False,0.0029912368198125,GbdR,,
12,fModule_13,False,-0.002951840083907,ModR,,
83,fModule_84,False,0.0027641371534471,,,
18,fModule_19,False,0.0027095539833609,,,
5,fModule_6,False,-0.0026254433413837,GcsR,,
80,fModule_81,False,0.0025394874181484,,,
52,fModule_53,False,-0.0025281640997007,PP_5350,,
54,fModule_55,False,0.0025239369960083,,,
79,fModule_80,False,-0.0024289826899408,,,
73,fModule_74,False,0.0023450930329449,,,
31,fModule_32,False,0.0023145671196404,,,
25,fModule_26,False,-0.0021986005403116,,,
74,fModule_75,False,-0.0019974075316469,,,
3,fModule_4,False,-0.001965038703142,,,
24,fModule_25,False,0.0019541052586562,PrpR,,
44,fModule_45,False,-0.001882277978096,,,
20,fModule_21,False,-0.0018544525462899,,,
10,fModule_11,False,-0.0018266205053863,PrpR,,
0,fModule_1,False,0.0017977243165615,,,
16,fModule_17,False,-0.0017581848793129,PedR1,,
70,fModule_71,False,-0.0017415867707174,,,
67,fModule_68,False,-0.0016825244769164,,,
51,fModule_52,False,0.0016568852332277,FleQ,,
21,fModule_22,False,-0.001644945074949,,,
17,fModule_18,False,0.0016238424102623,,,
27,fModule_28,False,-0.0015966260332197,VanR,,
19,fModule_20,False,-0.0015621266177131,,,
55,fModule_56,False,-0.0015487405591032,PydR,,
64,fModule_65,False,-0.0014838434929507,DctD-II,,
50,fModule_51,False,0.001402207924815,,,
15,fModule_16,False,0.0013573113975576,PcaR,,
78,fModule_79,False,0.0013565264414732,,,
59,fModule_60,False,-0.0012763458821722,,,
58,fModule_59,False,-0.0011477335118577,,,
53,fModule_54,False,-0.0010915060372326,,,
42,fModule_43,False,0.0010071232479952,PhhR,,
48,fModule_49,False,-0.0009863937003516,,,
43,fModule_44,False,-0.0009350664947641,,,
76,fModule_77,False,0.0007980985027965,PsrA,,
49,fModule_50,False,-0.0007703770230912,PP_2046,,
65,fModule_66,False,-0.0007010986589752,,,
62,fModule_63,False,-0.0005333388570611,,,
61,fModule_62,False,-0.0003525879348969,PP_3603,,
28,fModule_29,False,0.0003203569763583,,,
45,fModule_46,False,0.000229846999037,,,
77,fModule_78,False,0.0001147924285708,,,
63,fModule_64,False,-9.266916423436012e-05,,,
81,fModule_82,False,5.302647766902069e-05,,,
41,fModule_42,False,3.176624143198629e-05,,,
