,-0.06507974339164713,-0.03253987169582356,0.0,0.03253987169582356,0.06507974339164713,0.09761961508747069,0.13015948678329425,0.16269935847911782,0.19523923017494138,0.22777910187076494,0.2603189735665885,0.29285884526241207,0.32539871695823563,0.3579385886540592,0.39047846034988276,0.4230183320457063,0.4555582037415299,0.4880980754373535,0.520637947133177,0.5531778188290005
thresh,-0.08134967923955891,0.08134967923955891,1,,,,,,,,,,,,,,,,,
unreg,11,146,4439,106,20,5,0,2,0,0,1,0,0,0,0,1,1,0,0,0
unreg_genes,[],[],[],[],[],['rarD' 'relA' 'gabT' 'ppk' 'ptsH'],[],['PP_5331' 'dadA-II'],[],[],['mmsA-I'],[],[],[],[],['PP_0595'],['PP_0596'],[],[],[]
