,A,BenR
set27IT014,0.308605378742613,-0.134
set27IT015,0.3211963216194854,-0.122
set27IT016,-0.4694129000697998,0.027
set27IT017,0.2047817692658628,0.007
set27IT018,-0.0042814813409939,-0.081
set27IT019,-0.1833616313414248,-0.073
set27IT020,0.3780021504346018,-0.053
set27IT021,0.2270888056745408,-0.14
set27IT024,0.1337225161525124,-0.077
set27IT025,0.1863841100206243,-0.312
set27IT028,1.2806262127673171,-0.098
set27IT029,0.6489784767119722,-0.198
set27IT030,0.2029302143910894,0.001
set27IT031,0.0187864228065317,-0.089
set27IT032,-0.0013603134958796,-0.021
set27IT033,0.2827185823907995,-0.152
set27IT034,-0.0134774253110643,0.045
set27IT035,0.0408863084550557,-0.124
set27IT036,0.0031474306435089,-0.004
set27IT037,0.1709439590704341,-0.167
set27IT038,0.320177750520601,-0.155
set27IT039,0.1635200778530083,0.035
set27IT040,0.1640227155466984,-0.109
set27IT041,0.2456622755078497,-0.183
set27IT042,0.3384160383417195,-0.217
set27IT043,0.5111448498023868,0.013
set27IT044,0.1399691598272593,-0.222
set27IT045,0.3248120386673156,-0.047
set27IT046,-0.0583340180556903,-0.118
set27IT047,0.4725884975309103,0.002
set27IT048,0.1204444871101673,-0.212
set27IT049,0.2681136882139535,0.034
set27IT050,0.0907413701353124,0.064
set27IT051,0.4723292321413934,-0.059
set27IT052,0.1291746025392254,0.073
set27IT053,0.6161432065500752,-0.061
set27IT054,0.546527786787011,-0.092
set27IT055,0.186508577454261,-0.049
set27IT056,0.5974504408570572,-0.023
set27IT057,0.403456545678687,-0.069
set27IT058,0.403645263281098,-0.202
set27IT059,0.3256017707616533,0.079
set27IT060,0.0316133428089721,-0.081
set27IT061,-0.2791151943707997,-0.034
set27IT062,0.7661667544156763,-0.115
set27IT063,0.4679570870358263,-0.084
set27IT064,0.1038690049688363,-0.066
set27IT065,0.2614156992733829,-0.06
set27IT066,-0.266660711222385,0.032
set27IT067,-0.1872660559689009,-0.123
set27IT068,0.4132702117679695,-0.146
set27IT069,-0.0388639269091773,-0.131
set27IT070,-0.1907836718434273,-0.185
set27IT071,0.0612047126745003,-0.035
set27IT072,0.1144518449200186,0.04
set27IT073,-0.141294014180903,-0.091
set28IT003,0.5684907236254335,-0.035
set28IT004,0.236370103531296,0.026
set28IT005,-0.0064817722331943,0.016
set28IT006,0.016598649455256,0.042
set28IT007,-0.2044793238161884,0.189
set28IT008,0.2690675139330846,0.005
set28IT009,0.3958784546575344,-0.106
set28IT010,0.2172316877934247,0.188
set28IT013,0.2752733415814441,0.107
set28IT014,-0.0669999949768388,0.051
set28IT017,0.2393993007513656,0.104
set28IT018,0.2637809636344611,-0.055
set28IT021,-0.0808982581927359,0.074
set28IT022,0.329809338919439,0.042
set28IT023,0.5048914552590728,0.124
set28IT024,-0.0972188218415514,-0.12
set28IT027,0.5675722460761164,0.178
set28IT028,0.4487527523753276,-0.056
set28IT029,0.1617067042307285,0.161
set28IT030,-0.3631904393938875,0.24
set28IT031,0.0643483616195499,0.067
set28IT032,-0.2408573248605799,-0.054
set28IT035,0.1513898226934192,0.084
set28IT036,-0.5512462142088328,0.078
set28IT037,-0.0735869148010702,0.143
set28IT038,-0.0239310005275821,0.049
set28IT039,-0.0053910615254991,0.034
set28IT040,0.1666068423935722,0.004
set28IT041,-0.0437547130978758,-0.009
set28IT042,0.1103892535196908,0.057
set28IT045,0.4760613123580937,0.323
set28IT046,0.6499352974620545,0.129
set29IT004,0.4031646739900548,-0.351
set29IT005,0.3095369972013748,-0.089
set29IT006,-0.0517138033255164,0.056
set29IT007,-0.1576964409271279,-0.172
set29IT014,0.2395049352884185,-0.246
set29IT015,0.0627580245099094,-0.067
set29IT057,0.2635026394234919,0.102
set29IT058,-0.2153977641952539,-0.084
set100IT008,-0.0346517460480156,-0.152
set100IT009,0.1008390223011003,-0.08
set100IT010,0.1826662598454552,-0.003
set100IT011,0.4038870592414467,-0.16
set100IT012,0.0395705345071065,-0.004
set100IT013,-0.2219419810935774,0.054
set100IT014,0.3514072633654775,-0.154
set100IT015,0.2514792710226581,-0.072
set100IT016,-0.1742525481907258,-0.134
set100IT017,0.2219850285121716,-0.172
set100IT018,0.2626606750184979,-0.114
set100IT019,-0.2112857943679099,0.026
set100IT020,0.1470962055922656,-0.157
set100IT021,0.4479818900942218,-0.169
set100IT022,-0.4688006236931007,-0.036
set100IT023,0.6503015116267048,-0.186
set100IT024,1.0094356557096222,-0.007
set100IT025,0.33197578509463,-0.023
set100IT026,0.4547224703874133,-0.174
set100IT027,0.6515970767670838,-0.179
set100IT028,0.3150285426630103,-0.021
set100IT029,0.1241088251138273,-0.182
set100IT030,0.4116075279572032,-0.034
set100IT031,-0.1969161641713709,-0.037
set100IT032,0.4526510822248351,-0.123
set100IT033,0.449128088334221,-0.052
set100IT034,0.2143587211722868,-0.091
set100IT035,0.2618387772338892,-0.279
set100IT036,0.4703583611218576,-0.108
set100IT037,-0.0841303351667151,0.069
set100IT038,-0.3755319103023941,0.128
set100IT039,-0.2559257459726607,-0.329
set100IT040,-0.4482079707229527,-0.341
set100IT041,0.1448737972257333,-0.267
set100IT042,0.2889406122248344,-0.084
set100IT043,-0.3513372240749472,0.032
set100IT044,0.0993605000731442,-0.157
set100IT045,0.7304387472619542,-0.1
set100IT046,0.1320574228297273,-0.065
set101IT007,0.3644392315182003,-0.014
set101IT008,-0.4508316121791733,-0.127
set101IT009,0.5260757987360338,-0.151
set101IT013,-0.2116028985155909,0.048
set101IT014,-0.990800126505382,-0.238
set101IT015,-0.9155368793333534,-0.182
set101IT016,0.4441400562086638,0.059
set101IT017,0.0362955959882743,-0.044
set101IT018,0.679065932914765,-0.2
set101IT019,0.438141897568221,-0.051
set101IT020,-0.4869993125626756,-0.146
set101IT021,-0.2977456915115112,-0.158
set101IT022,-0.607909294910481,-0.022
set101IT023,-0.4803281252237449,-0.148
set101IT024,-0.3237028481274869,-0.176
set101IT025,0.5896081531460187,-0.075
set101IT026,-0.0357648558447966,-0.229
set101IT027,-0.4393722618196711,-0.094
set101IT028,-0.0239295797933082,0.061
set101IT029,-0.1259921158141987,-0.12
set101IT030,-0.2125557752877057,-0.123
set101IT031,0.3966972468859597,0.022
set101IT032,-0.5707571072208886,-0.127
set101IT033,-0.5390522725616905,-0.098
set101IT034,-0.5398438259261779,0.016
set101IT035,-0.930056151996442,-0.116
set101IT036,-0.7147088102107801,0.023
set101IT037,0.4685304055510053,-0.003
set101IT038,0.0898786430053422,-0.172
set101IT039,0.1471495240267956,-0.19
set101IT040,0.3897828934343246,-0.0
set101IT041,0.1416040864491253,-0.067
set101IT042,0.2131434076329158,-0.081
set101IT043,0.3218850422596097,0.016
set101IT044,-0.1909179386262101,-0.115
set101IT045,0.7109474806946209,-0.188
set101IT046,0.1026387189335389,-0.011
set101IT047,-0.246509521498087,-0.083
set101IT048,-0.2003687216005307,-0.172
