,-0.1744400835366883,-0.1495200716028757,-0.1246000596690631,-0.0996800477352505,-0.07476003580143789,-0.04984002386762529,-0.024920011933812686,-8.326672684688674e-17,0.02492001193381252,0.04984002386762512,0.07476003580143772,0.09968004773525033,0.12460005966906293,0.14952007160287553,0.17444008353668813,0.19936009547050074,0.22428010740431334,0.24920011933812594,0.27412013127193857,0.2990401432057511
thresh,-0.1869000895035946,0.1869000895035946,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,3,8,28,334,4007,314,19,7,4,1,1,0,1,0,3,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['bioB'],[],['PP_2919' 'ybgL' 'PP_2922'],['PP_2921'],[]
