,-0.12076619474896533,-0.10655840713143999,-0.09235061951391466,-0.07814283189638932,-0.06393504427886398,-0.04972725666133865,-0.03551946904381331,-0.021311681426287976,-0.00710389380876264,0.007103893808762696,0.02131168142628803,0.03551946904381337,0.049727256661338703,0.06393504427886404,0.07814283189638938,0.09235061951391471,0.10655840713144005,0.12076619474896538,0.13497398236649072,0.14918176998401605
thresh,-0.127870088557728,0.127870088557728,1,,,,,,,,,,,,,,,,,
unreg,0,0,4,4,3,16,53,339,2075,1797,318,67,24,15,9,2,4,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_1410'],[]
