,-0.19773468490610036,-0.17576416436097808,-0.1537936438158558,-0.13182312327073353,-0.10985260272561126,-0.08788208218048899,-0.06591156163536671,-0.04394104109024444,-0.021970520545122163,1.1102230246251565e-16,0.021970520545122385,0.04394104109024466,0.06591156163536693,0.08788208218048921,0.10985260272561148,0.13182312327073376,0.15379364381585603,0.1757641643609783,0.19773468490610058,0.21970520545122285
thresh,-0.2087199451786615,0.2087199451786615,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,2,2,7,16,53,463,3604,530,40,10,1,1,2,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
