,A,PP_3603
R2,,0.024781054847343054
xmin,,-3.446
xmid,,
xmax,,3.065
ystart,,2.0738699004708625
yend,,-1.081137092292618
set1IT078,-0.3061263396969814,0.359
set1IT079,-0.4659242367051543,0.156
set1IT080,-0.5209298114977647,0.019
set1IT081,-0.0291492905314953,0.181
set1IT082,-0.4326678356482615,-2.04
set1IT083,0.2497387516319512,-1.996
set1IT084,-0.2721217717820081,1.011
set1IT085,0.7871595741023691,1.138
set1IT086,-0.2114746171748653,0.649
set1IT087,-0.6686079043481625,0.304
set5IT075,-0.9237922239270284,0.605
set5IT076,-0.8081918586221083,0.55
set5IT081,-0.479703158989065,1.082
set5IT082,-0.5663771167174747,1.094
set5IT083,-0.7972171257335667,0.982
set5IT084,-0.9071474708952229,0.626
set5IT085,-0.7818164677156788,1.254
set5IT086,-0.373309378878539,1.538
set5IT087,-0.0436709195046197,0.438
set5IT088,-0.2435600206039291,0.781
set6IT057,0.1982084300310597,0.448
set6IT059,0.2754099343821956,0.953
set6IT061,0.0229673370093597,0.777
set6IT064,0.4811788169149358,0.252
set6IT065,7.053595660141951,-1.42
set7IT042,-0.4849558540531349,0.388
set7IT044,0.0166021851174878,-2.411
set7IT045,-0.2877731888667999,-3.446
set7IT055,0.5610537238842744,3.065
set7IT056,0.604112280661961,0.44
set7IT057,0.4208573639705459,-2.823
set7IT062,-0.3958417286671495,1.562
set8IT058,0.3478333479406356,-0.087
set8IT059,1.1823977029977546,-0.485
set8IT060,0.8811373599472138,-0.383
set8IT062,0.4037420830641896,0.099
set8IT064,0.8188457814454072,-0.296
set8IT070,0.2234496811213175,-0.083
set8IT073,0.5671646596931654,-0.186
set8IT080,-0.551558578554059,-0.183
set8IT081,-0.1500154236960697,-0.232
set8IT082,0.8074113906161631,-0.709
set8IT084,-0.0120937298164541,-0.379
set8IT085,-0.0040315242206273,-0.482
set8IT089,-0.5051357452905522,0.299
set8IT090,0.0693296265434589,0.039
set8IT092,0.7084282755981378,0.174
set8IT093,0.7963588679063548,0.08
set8IT094,0.4402901675751932,-0.106
set8IT095,-0.2187394795303476,0.047
set8IT096,-0.6065266134812896,0.152
set9IT020,0.2501407526513262,-0.28
set9IT022,0.0033670125937759,0.279
set9IT025,-0.0563867009113934,-0.036
set10IT006,0.4499930509657022,0.333
set10IT008,1.0844074823861949,0.947
set10IT010,0.1095242648923591,1.578
set10IT017,0.5257446687844417,0.43
set10IT018,-0.2920112951469489,0.399
set10IT019,-0.1431868106649622,0.41
set10IT020,-0.2207188437406464,0.467
set10IT021,-0.3482196031843195,0.422
