,-0.4242050169613746,-0.3535041808011455,-0.2828033446409164,-0.2121025084806873,-0.1414016723204582,-0.0707008361602291,0.0,0.0707008361602291,0.1414016723204582,0.21210250848068724,0.2828033446409164,0.35350418080114554,0.4242050169613746,0.4949058531216036,0.5656066892818328,0.6363075254420619,0.707008361602291,0.77770919776252,0.848410033922749,0.9191108700829783
thresh,-0.4595554350414891,0.4595554350414891,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,14,4706,11,0,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['nadC'],[]
