,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),-0.3710738722082281,0.12479011572291221,2.0,0.0,-0.4593138092609533,1.0,-0.2828339351555028,,,,
1,set1__Glucose carbon source (20mM),-0.07030844692520291,0.13344726721458727,2.0,2.0,0.024053020653045,3.0,-0.1646699145034508,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.5580308964439382,0.22116482188931644,2.0,4.0,-0.7144180417617888,5.0,-0.4016437511260875,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.3035475330389052,0.6085807723270192,2.0,6.0,0.7338791240510869,7.0,-0.1267840579732765,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.4373192875394763,0.0853916399884536,2.0,8.0,0.3769382798470004,9.0,0.4977002952319522,,,,
5,set5__D-Glucose carbon source,-0.34233816487535335,0.005798736647467128,2.0,10.0,-0.3382378388696144,11.0,-0.3464384908810923,,,,
6,set5__Levulinic Acid carbon source,-1.2942363752206838,0.9114870229365198,4.0,12.0,-2.458585943389954,13.0,-1.5561642158661737,14.0,-0.7407473574653461,15.0,-0.4214479841612611
7,set5__Vanillin carbon source,-1.1242572125216534,0.46277271645475504,2.0,16.0,-1.45148693847493,17.0,-0.7970274865683767,,,,
8,set5__p-Coumaric acid carbon source,-0.5201081385906896,0.3305007224091297,2.0,18.0,-0.7538074405932379,19.0,-0.2864088365881412,,,,
9,set6__D-Glucose carbon source,-0.4477104184983964,,1.0,20.0,-0.4477104184983964,,,,,,
10,set6__Ferulic Acid carbon source,-0.6163435362144483,,1.0,21.0,-0.6163435362144483,,,,,,
11,set6__benzoic acid carbon source,-1.4984653060694553,,1.0,22.0,-1.4984653060694553,,,,,,
12,set6__Valerolactam carbon source,-1.6603174725333885,,1.0,23.0,-1.6603174725333885,,,,,,
13,set6__D-Glucuronic Acid carbon source,-1.101931799604326,,1.0,24.0,-1.101931799604326,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-2.206261210137144,,1.0,25.0,-2.206261210137144,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-2.8138783186543517,1.4295896394365346,2.0,26.0,-3.8247508470139566,30.0,-1.8030057902947465,,,,
16,set7__Valerolactam 10 mM carbon source,-2.523636297159035,,1.0,27.0,-2.523636297159035,,,,,,
17,set7__L-Lysine 10 mM carbon source,-4.31086259926928,,1.0,28.0,-4.31086259926928,,,,,,
18,set7__D-Lysine 10 mM carbon source,-3.7192921119786204,0.2595212465750303,2.0,29.0,-3.90280134529381,31.0,-3.53578287866343,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.5626864822092024,,1.0,32.0,-0.5626864822092024,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-5.43666377613668,,1.0,33.0,-5.43666377613668,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-5.218901152991781,,1.0,34.0,-5.218901152991781,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-4.507883111199426,1.4905242105969287,2.0,35.0,-5.56184288803524,47.0,-3.4539233343636124,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-3.919582967470562,1.9850226052020783,2.0,36.0,-5.323205912417539,49.0,-2.5159600225235854,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-1.976031254415864,,1.0,37.0,-1.976031254415864,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-3.9319974581014514,,1.0,38.0,-3.9319974581014514,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-1.393263180540665,,1.0,39.0,-1.393263180540665,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-1.6722036589367435,,1.0,40.0,-1.6722036589367435,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-4.245536267864773,,1.0,41.0,-4.245536267864773,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-4.79330345122931,,1.0,42.0,-4.79330345122931,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-4.0001392000116205,,1.0,43.0,-4.0001392000116205,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-2.979845606993653,,1.0,44.0,-2.979845606993653,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-4.849570396222199,,1.0,45.0,-4.849570396222199,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-4.731092183245092,,1.0,46.0,-4.731092183245092,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-4.722595768478034,,1.0,48.0,-4.722595768478034,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-5.100571011363539,,1.0,50.0,-5.100571011363539,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.3128271340337923,,1.0,51.0,0.3128271340337923,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.8926593825586602,,1.0,52.0,-0.8926593825586602,,,,,,
