,-0.10234817614343208,-0.08660230289059638,-0.07085642963776068,-0.05511055638492497,-0.03936468313208927,-0.023618809879253563,-0.007872936626417859,0.007872936626417845,0.02361880987925355,0.03936468313208927,0.05511055638492496,0.07085642963776065,0.08660230289059637,0.10234817614343208,0.11809404939626778,0.13383992264910347,0.14958579590193918,0.1653316691547749,0.18107754240761062,0.19682341566044628
thresh,-0.11022111276984994,0.11022111276984994,1,,,,,,,,,,,,,,,,,
unreg,1,0,3,13,43,242,2199,1921,229,39,20,6,6,3,2,2,1,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_0048' 'pcaC'],['PP_0025' 'PP_1208'],['PP_2414'],['PP_0893'],['PP_1716'],[]
