,Value,list
TF,GltR-II,
reg_genes,7,['gtsD' 'gapA' 'oprB-I']
comp_genes,22,"['gabD-I' 'betI' 'PP_5212' 'speA' 'yciH' 'nadB' 'aguA' 'PP_2932' 'PP_1842'
 'csiR' 'norM' 'gltR-II' 'mgtC' 'PP_3415' 'PP_4548' 'PP_2884' 'mgtA'
 'PP_4547']"
both_genes,4,['gtsA' 'glk' 'gtsC' 'gtsB']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
