,A,PP_2046
R2,,0.051391166394915366
xmin,,-1.556
xmid,,0.49048973836580356
xmax,,1.352
ystart,,0.7852268697881262
yend,,7.174168490137543
set1IT078,-0.3047870632417336,0.229
set1IT079,0.669644112223331,-0.056
set1IT080,-0.2020858271240802,0.526
set1IT081,0.3206821767987462,0.138
set1IT082,6.482386292262042,1.067
set1IT083,6.429909140327413,1.352
set1IT084,2.25899370383924,0.433
set1IT085,1.8959324427548252,-0.084
set1IT086,1.420040434874876,0.627
set1IT087,1.3368750803906693,0.418
set5IT075,0.386249678154436,-0.02
set5IT076,0.0235692050393639,0.244
set5IT081,3.3566938192919458,0.092
set5IT082,3.0273062436172653,0.317
set5IT083,3.423888156810298,-0.014
set5IT084,2.5183840491914897,-0.16
set5IT085,2.1636668744824745,0.209
set5IT086,3.070695433188764,0.245
set5IT087,1.927759107956577,-0.258
set5IT088,1.3509724228920157,-0.109
set6IT057,0.0562887361109029,0.041
set6IT059,0.6380930719389647,0.096
set6IT061,1.2104830429552562,0.561
set6IT064,0.4247547980880386,-0.072
set6IT065,0.3917423314174568,-0.267
set7IT042,0.8251699006331674,0.126
set7IT044,2.170857846330293,0.56
set7IT045,1.4824878827759458,0.188
set7IT055,1.0564939751261917,0.33
set7IT056,2.221021743890073,0.717
set7IT057,1.1036249981752904,0.246
set7IT062,2.356883072954895,0.258
set8IT058,1.0469806717721224,-0.023
set8IT059,0.6787446190840564,0.284
set8IT060,2.132979774729978,0.243
set8IT062,1.5478516452183555,0.113
set8IT064,1.1365913742567235,0.204
set8IT070,0.493108339805992,0.542
set8IT073,1.537865425487036,0.397
set8IT080,-0.369427251730564,-0.268
set8IT081,0.3398960825210541,0.318
set8IT082,0.9060652915173968,-0.404
set8IT084,0.1911427261590496,-0.255
set8IT085,1.1210037622552795,0.036
set8IT089,0.366893864396788,-0.073
set8IT090,1.3261742492124196,-0.374
set8IT092,2.082251296022666,-0.036
set8IT093,1.5808603514934705,-0.198
set8IT094,1.6548438680088873,0.232
set8IT095,2.3275547638782217,-0.151
set8IT096,1.9820324820537936,0.097
set9IT020,0.5411658053259223,-0.14
set9IT022,0.8255550556058779,-0.045
set9IT025,1.2536866545787455,0.122
set10IT006,0.709614785524846,0.174
set10IT008,1.6311458768668232,0.629
set10IT010,0.5309794019818321,-0.043
set10IT017,0.4624848654063166,-0.42
set10IT018,0.2518893896304779,0.478
set10IT019,0.519603588412237,0.243
set10IT020,0.4826702161935526,-0.286
set10IT021,1.0087360963567225,0.092
set10IT022,0.6313043861291079,-0.408
set10IT023,0.8405303516732333,-0.139
set10IT024,0.2744513549679942,0.165
set10IT025,0.5188874930976091,0.649
set10IT026,0.8397352632103207,-0.286
set10IT027,1.059923492364564,0.247
set10IT028,0.6396693370128534,-0.26
set10IT029,0.8423493142806652,-0.545
set10IT031,1.113975396128608,-0.036
set10IT032,1.2096888609777117,-0.121
set10IT033,1.1242398563918918,0.313
set10IT034,-0.0239420433044212,0.13
set10IT035,1.780836916700772,-0.219
set10IT036,0.4601080845349485,0.233
set10IT037,0.8097748749494349,-0.105
set10IT043,1.2704707344979014,0.209
set10IT044,0.662472649695707,-0.258
set10IT053,4.597893105884211,-1.133
set12IT001,2.413834731929743,-0.026
set12IT002,0.9279225629911534,0.332
set12IT004,2.578035404890792,-0.232
