,-0.25099824844648055,-0.2214690427468946,-0.19193983704730866,-0.1624106313477227,-0.13288142564813676,-0.10335221994855082,-0.07382301424896487,-0.04429380854937892,-0.014764602849792974,0.014764602849792974,0.04429380854937892,0.07382301424896487,0.10335221994855082,0.13288142564813676,0.1624106313477227,0.19193983704730866,0.2214690427468946,0.25099824844648055,0.2805274541460665,0.31005665984565245
thresh,-0.11811682279834379,0.11811682279834379,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,2,7,16,61,2207,2357,61,9,4,1,0,0,0,1,0,0
PP_2046,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],['PP_3662'],['nadB' 'metF'],[],[],[],[],[],[],[],[],['PP_2144'],[],[],[],['rpoS'],[],[]
PP_2046_genes,['PP_2049'],[],[],[],['PP_2047'],[],[],[],['fadA'],['PP_2050'],[],['PP_2048'],[],[],[],[],[],[],[],[]
