,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.0485,0.007778174593052025,2.0,0.0,0.043,1.0,0.054,,,,
1,set1__Glucose carbon source (20mM),-0.151,0.09899494936611665,2.0,2.0,-0.081,3.0,-0.221,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.192,0.07636753236814713,2.0,4.0,-0.246,5.0,-0.138,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.05399999999999999,0.1725340546095176,2.0,6.0,0.068,7.0,-0.176,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.3095,0.3443610024378487,2.0,8.0,-0.066,9.0,-0.553,,,,
5,set5__D-Glucose carbon source,0.1595,0.03747665940288701,2.0,10.0,0.186,11.0,0.133,,,,
6,set5__Levulinic Acid carbon source,0.03175,0.039769125378028285,4.0,12.0,-0.025,13.0,0.036,14.0,0.05,15.0,0.066
7,set5__Vanillin carbon source,-0.11499999999999999,0.016970562748477146,2.0,16.0,-0.127,17.0,-0.103,,,,
8,set5__p-Coumaric acid carbon source,0.1405,0.10111626970967628,2.0,18.0,0.212,19.0,0.069,,,,
9,set6__D-Glucose carbon source,-0.029,,1.0,20.0,-0.029,,,,,,
10,set6__Ferulic Acid carbon source,-0.125,,1.0,21.0,-0.125,,,,,,
11,set6__benzoic acid carbon source,-0.005,,1.0,22.0,-0.005,,,,,,
12,set6__Valerolactam carbon source,0.185,,1.0,23.0,0.185,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.05,,1.0,24.0,-0.05,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.7,,1.0,25.0,0.7,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.0815,0.026162950903902263,2.0,26.0,0.1,30.0,0.063,,,,
16,set7__Valerolactam 10 mM carbon source,0.016,,1.0,27.0,0.016,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.063,,1.0,28.0,-0.063,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.06,0.09616652224137047,2.0,29.0,0.128,31.0,-0.008,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.122,,1.0,32.0,0.122,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.187,,1.0,33.0,0.187,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.348,,1.0,34.0,-0.348,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.1095,0.20293964620053917,2.0,35.0,0.034,47.0,-0.253,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.2195,0.39103004999616076,2.0,36.0,0.057,49.0,-0.496,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.013,,1.0,37.0,-0.013,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.032,,1.0,38.0,-0.032,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.536,,1.0,39.0,-0.536,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.025,,1.0,40.0,-0.025,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.473,,1.0,41.0,-0.473,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.247,,1.0,42.0,-0.247,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.326,,1.0,43.0,0.326,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.057,,1.0,44.0,0.057,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.337,,1.0,45.0,-0.337,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.119,,1.0,46.0,-0.119,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.069,,1.0,48.0,0.069,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.005,,1.0,50.0,-0.005,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.21,,1.0,51.0,0.21,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.004,,1.0,52.0,-0.004,,,,,,
