,-0.0477658308695509,6.938893903907228e-18,0.04776583086955091,0.09553166173910181,0.1432974926086527,0.19106332347820365,0.23882915434775454,0.2865949852173055,0.33436081608685636,0.38212664695640725,0.4298924778259582,0.47765830869550907,0.52542413956506,0.5731899704346108,0.6209558013041618,0.6687216321737127,0.7164874630432636,0.7642532939128145,0.8120191247823654,0.8597849556519164
thresh,-0.07164874630432636,0.07164874630432636,1,,,,,,,,,,,,,,,,,
unreg,37,4635,53,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
unreg_genes,[],[],[],['PP_2889' 'oxyR' 'relA' 'rlmD'],['PP_4171'],[],[],[],[],[],[],[],[],['gacS' 'uvrY'],[],[],[],[],[],[]
