,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-2.2350000000000003,0.6123544725075503,2.0,0.0,-2.668,1.0,-1.802,,,,
1,set1__Glucose carbon source (20mM),-2.2110000000000003,0.03252691193458106,2.0,2.0,-2.234,3.0,-2.188,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-3.043,0.7382194795587557,2.0,4.0,-2.521,5.0,-3.565,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-1.9939999999999998,0.15273506473629425,2.0,6.0,-2.102,7.0,-1.886,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.717,0.31395541084682704,2.0,8.0,-0.939,9.0,-0.495,,,,
5,set5__D-Glucose carbon source,-2.368,0.49073210614346396,2.0,10.0,-2.715,11.0,-2.021,,,,
6,set5__Levulinic Acid carbon source,-0.7925,0.14529166069209432,4.0,12.0,-0.607,13.0,-0.962,14.0,-0.806,15.0,-0.795
7,set5__Vanillin carbon source,-3.1189999999999998,0.21778888860545684,2.0,16.0,-2.965,17.0,-3.273,,,,
8,set5__p-Coumaric acid carbon source,-2.765,0.41153614665057053,2.0,18.0,-2.474,19.0,-3.056,,,,
9,set6__D-Glucose carbon source,-0.709,,1.0,20.0,-0.709,,,,,,
10,set6__Ferulic Acid carbon source,-0.339,,1.0,21.0,-0.339,,,,,,
11,set6__benzoic acid carbon source,-1.163,,1.0,22.0,-1.163,,,,,,
12,set6__Valerolactam carbon source,-0.922,,1.0,23.0,-0.922,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.841,,1.0,24.0,-0.841,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.248,,1.0,25.0,-0.248,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.982,0.548714862200761,2.0,26.0,-1.37,30.0,-0.594,,,,
16,set7__Valerolactam 10 mM carbon source,-0.8,,1.0,27.0,-0.8,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.091,,1.0,28.0,0.091,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.46299999999999997,0.1994041122946064,2.0,29.0,-0.322,31.0,-0.604,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.179,,1.0,32.0,-0.179,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.392,,1.0,33.0,0.392,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,2.261,,1.0,34.0,2.261,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,2.2880000000000003,0.3153696244092003,2.0,35.0,2.065,47.0,2.511,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,2.553,0.08343860018001252,2.0,36.0,2.494,49.0,2.612,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.191,,1.0,37.0,0.191,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,3.254,,1.0,38.0,3.254,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.581,,1.0,39.0,0.581,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.664,,1.0,40.0,0.664,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",2.94,,1.0,41.0,2.94,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1.952,,1.0,42.0,1.952,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",2.236,,1.0,43.0,2.236,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.136,,1.0,44.0,0.136,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.416,,1.0,45.0,0.416,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,2.302,,1.0,46.0,2.302,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,1.99,,1.0,48.0,1.99,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,2.05,,1.0,50.0,2.05,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,1.358,,1.0,51.0,1.358,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,1.163,,1.0,52.0,1.163,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,2.598,,1.0,53.0,2.598,,,,,,
39,set10__L-Arginine carbon source,-1.231,,1.0,54.0,-1.231,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.55,,1.0,55.0,-0.55,,,,,,
41,set10__L-Histidine carbon source,-1.802,,1.0,56.0,-1.802,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-1.798,,1.0,57.0,-1.798,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-1.966,,1.0,58.0,-1.966,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-1.899,,1.0,59.0,-1.899,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-1.723,,1.0,60.0,-1.723,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-1.033,,1.0,61.0,-1.033,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-2.088,,1.0,62.0,-2.088,,,,,,
