,PP_4384
set1IT078,-0.037
set1IT079,0.042
set1IT080,0.167
set1IT081,0.068
set1IT082,0.11
set1IT083,0.205
set1IT084,0.046
set1IT085,-0.073
set1IT086,0.305
set1IT087,0.042
set5IT075,-0.087
set5IT076,-0.131
set5IT081,-0.365
set5IT082,0.148
set5IT083,0.27
set5IT084,0.401
set5IT085,-0.736
set5IT086,-0.691
set5IT087,0.321
set5IT088,0.326
set6IT057,-0.06
set6IT059,0.428
set6IT061,-0.011
set6IT064,-0.126
set6IT065,1.194
set7IT042,-0.242
set7IT044,-0.403
set7IT045,0.176
set7IT055,-0.09
set7IT056,0.091
set7IT057,-0.169
set7IT062,0.168
set8IT058,0.045
set8IT059,0.129
set8IT060,0.083
set8IT062,0.325
set8IT064,0.035
set8IT070,0.048
set8IT073,0.065
set8IT080,0.055
set8IT081,0.091
set8IT082,-0.249
set8IT084,-0.382
set8IT085,-0.247
set8IT089,-0.224
set8IT090,0.081
set8IT092,0.309
set8IT093,0.161
set8IT094,0.204
set8IT095,-0.108
set8IT096,0.265
set9IT020,0.029
set9IT022,0.002
set9IT025,-0.171
set10IT006,0.346
set10IT008,-0.064
set10IT010,0.034
set10IT017,0.179
set10IT018,0.232
set10IT019,0.108
set10IT020,-0.003
set10IT021,-0.138
set10IT022,0.189
set10IT023,0.195
set10IT024,0.082
set10IT025,0.095
set10IT026,-0.182
set10IT027,0.151
set10IT028,0.219
set10IT029,0.183
set10IT031,0.279
set10IT032,0.214
set10IT033,0.054
set10IT034,0.259
set10IT035,0.044
set10IT036,-0.048
set10IT037,0.029
set10IT043,0.091
set10IT044,0.798
set10IT053,0.334
set12IT001,-0.107
set12IT002,0.163
set12IT004,0.241
set12IT007,0.097
set12IT008,0.755
set12IT009,0.127
set12IT014,-0.573
set12IT015,-0.291
set12IT016,-0.111
set12IT017,0.131
set12IT023,0.011
set12IT024,-0.181
set12IT025,-0.66
set12IT026,-0.399
set12IT027,-0.247
set12IT028,0.028
set12IT029,-0.038
set12IT031,-0.042
set12IT032,-0.117
set12IT034,0.088
set12IT037,0.033
set12IT038,0.717
set12IT039,0.187
set12IT044,-0.421
set12IT046,-0.318
set12IT053,0.134
set12IT054,-0.115
set12IT055,-0.865
set12IT056,-0.85
set12IT057,-0.043
set12IT058,0.076
set12IT059,-0.128
set15IT054,-0.127
set15IT057,0.115
set15IT058,0.113
set15IT059,0.024
set15IT060,0.154
set15IT061,-0.002
set15IT062,-0.347
set15IT063,0.387
set15IT064,-0.157
set15IT065,0.265
set15IT066,-0.27
set15IT067,-0.146
set15IT068,-0.135
set15IT071,0.03
set15IT072,0.062
set15IT073,0.033
set15IT074,0.183
set15IT075,0.035
set15IT076,-0.114
set15IT077,0.26
set15IT078,-0.298
set15IT079,-0.027
set15IT080,-0.318
set15IT081,-0.046
set16IT004,0.022
set16IT005,0.087
set16IT006,-0.244
set16IT007,0.342
set16IT008,-0.118
set16IT009,-0.131
set16IT010,-0.104
set16IT011,-0.089
set16IT012,-0.124
set16IT013,-0.075
set16IT014,-0.132
set16IT015,-0.098
set27IT004,0.154
set27IT005,0.274
set27IT006,0.875
set27IT007,1.082
set27IT008,0.152
set27IT009,0.245
set27IT010,-0.2
set27IT011,-0.189
set27IT012,0.095
set27IT013,0.115
set27IT014,0.162
set27IT015,0.261
set27IT016,0.117
set27IT017,0.125
set27IT018,0.067
set27IT019,0.206
set27IT020,0.479
set27IT021,0.469
set27IT024,0.912
set27IT025,0.709
set27IT028,1.354
set27IT029,1.242
set27IT030,0.226
set27IT031,0.143
set27IT032,0.24
set27IT033,0.251
set27IT034,0.136
set27IT035,0.06
set27IT036,0.087
set27IT037,0.019
set27IT038,0.276
set27IT039,0.163
set27IT040,0.541
set27IT041,0.531
set27IT042,0.062
set27IT043,0.04
set27IT044,0.244
set27IT045,0.127
set27IT046,0.131
set27IT047,0.173
set27IT048,0.68
set27IT049,0.694
set27IT050,0.041
set27IT051,0.098
set27IT052,0.089
set27IT053,0.112
set27IT054,0.144
set27IT055,0.154
set27IT056,0.216
set27IT057,0.27
set27IT058,1.002
set27IT059,1.078
set27IT060,0.109
set27IT061,0.229
set27IT062,0.197
set27IT063,0.106
set27IT064,1.093
set27IT065,1.026
set27IT066,0.11
set27IT067,0.114
set27IT068,0.543
set27IT069,0.485
set27IT070,0.515
set27IT071,0.46
set27IT072,0.097
set27IT073,0.248
set28IT003,0.092
set28IT004,0.012
set28IT005,0.225
set28IT006,0.352
set28IT007,0.63
set28IT008,0.616
set28IT009,0.029
set28IT010,0.075
set28IT013,0.252
set28IT014,0.308
set28IT017,0.204
set28IT018,0.312
set28IT021,0.129
set28IT022,0.198
set28IT023,0.05
set28IT024,-0.003
set28IT027,0.321
set28IT028,0.489
set28IT029,0.34
set28IT030,0.299
set28IT031,0.047
set28IT032,0.156
set28IT035,0.101
set28IT036,0.241
set28IT037,-0.044
set28IT038,0.117
set28IT039,0.242
set28IT040,0.226
set28IT041,0.192
set28IT042,0.126
set28IT045,0.019
set28IT046,0.086
set29IT004,-0.286
set29IT005,0.537
set29IT006,0.176
set29IT007,-0.157
set29IT014,-0.082
set29IT015,-0.336
set29IT057,0.207
set29IT058,0.39
set100IT008,0.178
set100IT009,0.099
set100IT010,-0.083
set100IT011,0.298
set100IT012,0.125
set100IT013,0.022
set100IT014,0.231
set100IT015,0.155
set100IT016,0.101
set100IT017,1.356
set100IT018,0.894
set100IT019,0.91
set100IT020,0.332
set100IT021,0.121
set100IT022,-0.108
set100IT023,0.263
set100IT024,0.204
set100IT025,0.192
set100IT026,0.413
set100IT027,0.113
set100IT028,-0.111
set100IT029,0.371
set100IT030,0.141
set100IT031,0.012
set100IT032,0.241
set100IT033,-0.034
set100IT034,-0.036
set100IT035,0.396
set100IT036,0.188
set100IT037,0.237
set100IT038,0.757
set100IT039,0.24
set100IT040,0.026
set100IT041,0.486
set100IT042,0.062
set100IT043,0.233
set100IT044,0.172
set100IT045,-0.045
set100IT046,-0.137
set101IT007,0.136
set101IT008,0.168
set101IT009,0.071
set101IT013,0.292
set101IT014,0.141
set101IT015,-0.01
set101IT016,0.158
set101IT017,0.093
set101IT018,0.182
set101IT019,0.076
set101IT020,0.18
set101IT021,0.205
set101IT022,0.196
set101IT023,0.207
set101IT024,0.15
set101IT025,0.438
set101IT026,0.317
set101IT027,0.495
set101IT028,0.373
set101IT029,0.546
set101IT030,0.617
set101IT031,0.286
set101IT032,0.197
set101IT033,0.264
set101IT034,0.343
set101IT035,0.396
set101IT036,0.369
set101IT037,0.414
set101IT038,0.232
set101IT039,0.305
set101IT040,0.401
set101IT041,0.147
set101IT042,0.207
set101IT043,0.128
set101IT044,0.207
set101IT045,0.34
set101IT046,-0.01
set101IT047,0.183
set101IT048,0.202
