,-0.14356454033244745,-0.09570969355496498,-0.0478548467774825,-2.7755575615628914e-17,0.047854846777482446,0.09570969355496492,0.1435645403324474,0.19141938710992987,0.23927423388741234,0.28712908066489484,0.33498392744237726,0.3828387742198598,0.4306936209973422,0.4785484677748246,0.5264033145523072,0.5742581613297897,0.6221130081072721,0.6699678548847545,0.717822701662237,0.7656775484397196
thresh,-0.16749196372118869,0.16749196372118869,1,,,,,,,,,,,,,,,,,
unreg,1,0,73,4575,72,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],['proI'],[],[],[],[],[],[],[],[],['proB'],[],[],[]
