,A,PhhR
R2,,0.38568228418611317
xmin,,-3.294
xmid,,
xmax,,0.285
ystart,,-10.677254307047768
yend,,0.08683518729057194
set1IT078,-0.5119064199079052,-0.046
set1IT079,-1.3005333889619837,0.017
set1IT080,-0.7171521748536003,-0.101
set1IT081,-1.2338127205283045,0.055
set1IT082,-1.499295732383105,-0.091
set1IT083,-0.9025466677598049,-0.116
set1IT084,-0.9079828821936492,0.139
set1IT085,0.8413140396187415,0.244
set1IT086,0.2712775556749945,0.097
set1IT087,0.3838952580937743,0.235
set5IT075,-0.5960512248806341,-0.103
set5IT076,-0.6329845764629679,-0.143
set5IT081,-0.1472207426071926,-0.165
set5IT082,-0.0880775395313996,0.036
set5IT083,0.5969364787651416,0.027
set5IT084,0.0767732043545409,-0.1
set5IT085,0.4517907074240914,0.05
set5IT086,0.0363678937378078,-0.12
set5IT087,-0.4841237017501807,-0.053
set5IT088,-1.3521673438335224,-0.11
set6IT057,-0.9772001345107332,-0.08
set6IT059,-1.2799196531534571,0.173
set6IT061,-1.250016132458141,0.07
set6IT064,-0.9876405077679128,-0.016
set6IT065,-0.3214137231199861,-0.019
set7IT042,-1.7208171877168068,-0.387
set7IT044,-1.1576045071180028,0.051
set7IT045,-0.8072341099911555,-0.064
set7IT055,-0.4883687391043416,-0.302
set7IT056,0.4299883579697245,-0.282
set7IT057,-1.011327218386389,-0.036
set7IT062,-0.4793498623095885,-0.111
set8IT058,-0.9028992382375028,0.113
set8IT059,-1.3138983903097587,-0.015
set8IT060,1.497670944975206,-0.111
set8IT062,1.0408389118256944,-0.038
set8IT064,1.0200089171289095,-0.09
set8IT070,0.9886405864109838,0.049
set8IT073,-0.7941358354054314,-0.138
set8IT080,0.8786767479578519,0.004
set8IT081,0.40208364003082,-0.06
set8IT082,0.2256744640997602,-0.159
set8IT084,0.5969480442199996,-0.128
set8IT085,0.2286004361370972,-0.184
set8IT089,0.343896220985096,0.01
set8IT090,-0.2176187109627836,-0.01
set8IT092,1.2698298043626015,-0.036
set8IT093,1.4004151591762843,-0.146
set8IT094,-0.2662747474289189,-0.017
set8IT095,1.0233024376259228,-0.144
set8IT096,-0.3399229436859857,-0.086
