,Value,list
TF,PhhR,
reg_genes,0,[]
comp_genes,11,['pde' 'hpd' 'miaA' 'pabB' 'tgt' 'surE' 'PP_3434' 'amaC' 'PP_0393']
both_genes,0,['phhA' 'phhR']
reg_genes2,2,
comp_genes2,0,
both_genes2,0,
