,-0.09474011567826385,-0.07368675663864965,-0.05263339759903546,-0.031580038559421264,-0.01052667951980707,0.010526679519807125,0.03158003855942132,0.052633397599035514,0.07368675663864971,0.0947401156782639,0.1157934747178781,0.1368468337574923,0.1579001927971065,0.17895355183672068,0.20000691087633488,0.22106026991594907,0.24211362895556326,0.26316698799517746,0.28422034703479165,0.30527370607440585
thresh,-0.10526679519807094,0.10526679519807094,2,,,,,,,,,,,,,,,,,
unreg,1,1,24,135,2310,2121,92,21,12,4,3,0,1,3,0,1,1,0,0,0
PhhR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['surE' 'pabB' 'PP_0393'],[],['hpd'],['miaA' 'PP_3434' 'tgt'],[],['pde'],['amaC'],[],[],[]
PhhR_genes,[],[],[],[],[],[],[],[],[],[],[],[],['phhR' 'phhA'],[],[],[],[],[],[],[]
