,-0.07725461323250939,-0.05518186659464956,-0.03310911995678974,-0.011036373318929912,0.011036373318929912,0.03310911995678974,0.05518186659464956,0.07725461323250939,0.09932735987036921,0.12140010650822904,0.14347285314608887,0.16554559978394867,0.18761834642180852,0.20969109305966838,0.23176383969752817,0.25383658633538797,0.2759093329732478,0.2979820796111077,0.32005482624896747,0.34212757288682727
thresh,-0.0882909865514393,0.0882909865514393,1,,,,,,,,,,,,,,,,,
unreg,2,7,33,2682,1955,23,9,3,3,2,2,1,0,2,3,3,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['maeB' 'lhgO' 'PP_4108'],['davA' 'PP_2088'],['PP_0384' 'davB'],['ydiJ'],[],['PP_3597' 'amaB'],['PP_3595' 'dpkA' 'ydcJ'],['amaA' 'PP_3594' 'PP_3592'],['amaD' 'PP_3593'],[],[],[]
