,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.313,0.06646803743153545,2.0,0.0,-0.266,1.0,-0.36,,,,
1,set1__Glucose carbon source (20mM),-0.08499999999999999,0.03111269837220809,2.0,2.0,-0.107,3.0,-0.063,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.1545,0.03606244584051392,2.0,4.0,-0.129,5.0,-0.18,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.153,0.20506096654409878,2.0,6.0,-0.008,7.0,-0.298,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.2295,0.050204581464244884,2.0,8.0,-0.194,9.0,-0.265,,,,
5,set5__D-Glucose carbon source,0.005000000000000001,0.01697056274847714,2.0,10.0,0.017,11.0,-0.007,,,,
6,set5__Levulinic Acid carbon source,0.18475,0.12011210041734623,4.0,12.0,0.025,13.0,0.16,14.0,0.269,15.0,0.285
7,set5__Vanillin carbon source,-0.068,0.19091883092036785,2.0,16.0,-0.203,17.0,0.067,,,,
8,set5__p-Coumaric acid carbon source,0.149,0.1470782104868019,2.0,18.0,0.045,19.0,0.253,,,,
9,set6__D-Glucose carbon source,-0.181,,1.0,20.0,-0.181,,,,,,
10,set6__Ferulic Acid carbon source,-0.12,,1.0,21.0,-0.12,,,,,,
11,set6__benzoic acid carbon source,0.112,,1.0,22.0,0.112,,,,,,
12,set6__Valerolactam carbon source,-0.196,,1.0,23.0,-0.196,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.01,,1.0,24.0,-0.01,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.053,,1.0,25.0,-0.053,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.1835,0.027577164466275356,2.0,26.0,0.203,30.0,0.164,,,,
16,set7__Valerolactam 10 mM carbon source,-0.013,,1.0,27.0,-0.013,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.238,,1.0,28.0,0.238,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.134,0.11455129855222071,2.0,29.0,-0.053,31.0,-0.215,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.152,,1.0,32.0,0.152,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.179,,1.0,33.0,0.179,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.114,,1.0,34.0,-0.114,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.363,0.03818376618407356,2.0,35.0,-0.336,47.0,-0.39,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.4375,0.11101576464628798,2.0,36.0,-0.359,49.0,-0.516,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.092,,1.0,37.0,-0.092,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.057,,1.0,38.0,-0.057,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.108,,1.0,39.0,0.108,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.108,,1.0,40.0,-0.108,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.105,,1.0,41.0,-0.105,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.08,,1.0,42.0,-0.08,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.208,,1.0,43.0,-0.208,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.121,,1.0,44.0,-0.121,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.068,,1.0,45.0,0.068,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.023,,1.0,46.0,0.023,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.223,,1.0,48.0,-0.223,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.21,,1.0,50.0,-0.21,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.086,,1.0,51.0,0.086,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.116,,1.0,52.0,0.116,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-0.342,,1.0,53.0,-0.342,,,,,,
39,set10__L-Arginine carbon source,0.081,,1.0,54.0,0.081,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.205,,1.0,55.0,-0.205,,,,,,
41,set10__L-Histidine carbon source,-0.142,,1.0,56.0,-0.142,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-0.134,,1.0,57.0,-0.134,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.109,,1.0,58.0,-0.109,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,0.101,,1.0,59.0,0.101,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,0.091,,1.0,60.0,0.091,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,0.232,,1.0,61.0,0.232,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-0.007,,1.0,62.0,-0.007,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-0.039,,1.0,63.0,-0.039,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-0.292,,1.0,64.0,-0.292,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-0.087,,1.0,65.0,-0.087,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,0.102,,1.0,66.0,0.102,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,0.146,,1.0,67.0,0.146,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,0.0,,1.0,68.0,0.0,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,-0.072,,1.0,69.0,-0.072,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,0.08,,1.0,70.0,0.08,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,0.058,,1.0,71.0,0.058,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,0.195,,1.0,72.0,0.195,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-0.103,,1.0,73.0,-0.103,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,0.163,,1.0,74.0,0.163,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-0.006,,1.0,75.0,-0.006,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,0.039,,1.0,76.0,0.039,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-0.005,,1.0,77.0,-0.005,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,-0.031,,1.0,78.0,-0.031,,,,,,
64,set10__Sodium butyrate carbon source,-0.38,,1.0,79.0,-0.38,,,,,,
65,set12__Vanillin carbon source,0.1785,0.1916259377015544,2.0,80.0,0.043,97.0,0.314,,,,
66,"set12__1,2-Propanediol carbon source",-0.986,0.016970562748477157,2.0,81.0,-0.998,98.0,-0.974,,,,
67,set12__Sodium propionate carbon source,-0.34650000000000003,0.07424621202458752,2.0,82.0,-0.399,99.0,-0.294,,,,
68,set12__2-methyl-1-butanol carbon source,0.23399999999999999,0.3450681092190352,2.0,83.0,0.478,100.0,-0.01,,,,
69,"set12__1,5-Pentanediol carbon source",-0.0935,0.15061374439273464,2.0,84.0,0.013,101.0,-0.2,,,,
70,"set12__1,4-Butanediol carbon source",-0.0605,0.1831406563273158,2.0,85.0,-0.19,102.0,0.069,,,,
71,set12__Vanillic Acid carbon source,0.1435,0.15061374439273462,2.0,86.0,0.25,103.0,0.037,,,,
72,set12__Protocatechuic Acid carbon source,-0.1575,0.2170817818242701,2.0,87.0,-0.004,89.0,-0.311,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-0.059000000000000004,0.014142135623730954,2.0,88.0,-0.049,104.0,-0.069,,,,
74,set12__L-Lysine carbon source,0.08099999999999999,0.011313708498984762,2.0,90.0,0.073,105.0,0.089,,,,
75,set12__p-Coumaric acid carbon source,0.1195,0.06717514421272203,2.0,91.0,0.167,106.0,0.072,,,,
76,set12__benzoic acid carbon source,0.063,0.14142135623730953,2.0,92.0,0.163,107.0,-0.037,,,,
77,set12__Ferulic Acid carbon source,0.1315,0.07424621202458749,2.0,93.0,0.079,108.0,0.184,,,,
78,set12__D-Glucose carbon source,-0.08950000000000001,0.06717514421272203,2.0,94.0,-0.042,109.0,-0.137,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,0.205,0.1088944443027283,2.0,95.0,0.282,110.0,0.128,,,,
80,set12__Phenylacetic acid carbon source,-0.010499999999999995,0.18455486988968892,2.0,96.0,0.12,111.0,-0.141,,,,
81,set15__Butyl stearate carbon source,0.31,0.5628569978244918,2.0,112.0,-0.088,124.0,0.708,,,,
82,set15__Hexanoic acid carbon source,-0.0295,0.06858935777509512,2.0,113.0,-0.078,125.0,0.019,,,,
83,set15__Decanoic acid carbon source,0.078,0.08485281374238571,2.0,114.0,0.138,126.0,0.018,,,,
84,set15__Lauric acid carbon source,0.08750000000000001,0.10535891039679558,2.0,115.0,0.013,127.0,0.162,,,,
85,set15__Valeric acid carbon source,0.183,0.19091883092036785,2.0,116.0,0.048,128.0,0.318,,,,
86,set15__Octanoic acid carbon source,0.07050000000000001,0.06576093065034892,2.0,117.0,0.024,129.0,0.117,,,,
87,set15__Nonanoic acid carbon source,0.05800000000000001,0.15697770542341358,2.0,118.0,-0.053,130.0,0.169,,,,
88,set15__Tween 20 carbon source,-0.11400000000000002,0.312541197284454,2.0,119.0,-0.335,131.0,0.107,,,,
89,set15__Myristic acid carbon source,-0.0975,0.03181980515339464,2.0,120.0,-0.12,132.0,-0.075,,,,
90,set15__Sodium butyrate carbon source,-0.279,0.15980613254815976,2.0,121.0,-0.392,133.0,-0.166,,,,
91,set15__Oleic acid carbon source,0.181,0.03394112549695427,2.0,122.0,0.205,134.0,0.157,,,,
92,set15__Heptanoic acid carbon source,0.1625,0.07990306627407988,2.0,123.0,0.106,135.0,0.219,,,,
93,set16__Butanol carbon source,0.047,0.12586500705120546,2.0,136.0,0.136,137.0,-0.042,,,,
94,"set16__1,3-Butandiol carbon source",0.245,0.48366103833159846,2.0,138.0,-0.097,139.0,0.587,,,,
95,set16__3-methyl-3-butenol carbon source,-0.2105,0.05303300858899107,2.0,140.0,-0.248,141.0,-0.173,,,,
96,set16__3-methyl-1-butanol carbon source,0.426,0.07212489168102784,2.0,142.0,0.477,143.0,0.375,,,,
97,set16__1-Pentanol carbon source,-0.3065,0.03889087296526011,2.0,144.0,-0.279,145.0,-0.334,,,,
98,set16__Ethanol carbon source,-0.14550000000000002,0.08131727983645298,2.0,146.0,-0.088,147.0,-0.203,,,,
