,-0.06889487178131018,-0.02296495726043673,0.022964957260436722,0.06889487178131018,0.11482478630218362,0.16075470082305707,0.20668461534393054,0.2526145298648039,0.2985444443856774,0.34447435890655087,0.39040427342742434,0.4363341879482978,0.4822641024691713,0.5281940169900448,0.5741239315109181,0.6200538460317916,0.6659837605526651,0.7119136750735385,0.757843589594412,0.8037735041152854
thresh,-0.0918598290417469,0.0918598290417469,1,,,,,,,,,,,,,,,,,
unreg,5,2535,2170,16,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
unreg_genes,[],[],[],[],['PP_0856' 'amaC'],['panB'],['PP_1151'],[],[],[],[],['PP_1152'],[],['PP_1150'],[],[],[],[],[],[]
