,A,PcaR
set27IT014,-0.0460838850645372,0.039
set27IT015,0.2326518541221094,-0.016
set27IT016,-0.5101886135876814,-0.036
set27IT017,-0.1383479639454194,-0.063
set27IT018,-0.1864399683834317,0.028
set27IT019,-0.1729435751348094,0.064
set27IT020,0.2207211121267063,-0.315
set27IT021,0.0119707364642533,-0.312
set27IT024,0.2978342827813701,0.004
set27IT025,-0.0035257071677303,-0.074
set27IT028,1.0521402496417824,-0.038
set27IT029,1.0379449255519808,-0.054
set27IT030,-0.3767293295419411,-0.056
set27IT031,-0.2301080105268386,0.002
set27IT032,-0.024206013182282,-0.029
set27IT033,0.0400360462616029,-0.09
set27IT034,-0.1767594745427686,-0.016
set27IT035,-0.1858567008038275,-0.049
set27IT036,-0.2376760570685966,0.067
set27IT037,-0.5403318091125363,-0.006
set27IT038,0.0713882343508651,0.043
set27IT039,-0.4152001252172856,0.005
set27IT040,-0.0161233164723183,0.165
set27IT041,-0.0707354199399174,0.151
set27IT042,0.3623769098801692,0.023
set27IT043,0.2515694310597648,-0.015
set27IT044,0.1249177720042758,-0.005
set27IT045,0.1293869718425646,0.015
set27IT046,0.2036422042372715,0.14
set27IT047,0.0548861638103289,0.19
set27IT048,-0.3619022896342874,0.116
set27IT049,-0.1327692835055103,0.177
set27IT050,-0.1918724630180285,-0.117
set27IT051,0.0840006151967564,-0.155
set27IT052,-0.0760157040484767,0.014
set27IT053,0.2810337535236614,0.024
set27IT054,0.2645133229483973,0.105
set27IT055,0.0129995719069983,0.152
set27IT056,0.0232179197434773,0.098
set27IT057,-0.0268157739290323,0.15
set27IT058,0.092041754560011,-0.063
set27IT059,-0.3583577735035509,-0.157
set27IT060,-0.2163511277948594,0.108
set27IT061,-0.3028620632820389,-0.011
set27IT062,-0.1849652830426413,0.119
set27IT063,-0.2445018124444853,0.028
set27IT064,-0.0318293735775061,0.061
set27IT065,-0.2148338384999005,-0.007
set27IT066,-0.2680344184508271,-0.135
set27IT067,-0.0980156306457173,-0.128
set27IT068,-0.1348973438817449,-0.144
set27IT069,-0.064009921022233,0.029
set27IT070,-0.4789273831798066,0.041
set27IT071,-0.4989165532215474,-0.016
set27IT072,-0.1696559241108841,0.111
set27IT073,-0.0378030550158724,-0.037
set28IT003,0.0266396615968846,-0.075
set28IT004,0.0646602344325917,-0.043
set28IT005,-0.0790766388158495,0.12
set28IT006,-0.1828595068767354,0.045
set28IT007,-0.0850294580571158,-0.065
set28IT008,-0.5197585787142297,-0.125
set28IT009,-0.5399171523425015,0.012
set28IT010,-0.2990992115596931,-0.021
set28IT013,-0.108298297022736,0.083
set28IT014,-0.03628415817375,-0.012
set28IT017,-0.3137947824757347,-0.042
set28IT018,-0.2051816185799687,0.063
set28IT021,-0.0661529877238031,0.088
set28IT022,0.0149952856692806,0.072
set28IT023,-0.1078128030648069,0.053
set28IT024,-0.0984405352191419,0.042
set28IT027,0.1861465234836937,0.011
set28IT028,-0.2278582420900988,-0.11
set28IT029,-0.3947686851221659,-0.191
set28IT030,-0.2749109189792997,-0.188
set28IT031,-0.2861241037632877,-0.053
set28IT032,-0.1000098982396547,-0.11
set28IT035,-0.5737443555774665,-0.154
set28IT036,0.053943603777811,-0.034
set28IT037,-0.0010123547145578,0.106
set28IT038,0.1444289817835174,0.115
set28IT039,-0.3056721259681846,-0.046
set28IT040,-0.0673119999740017,-0.103
set28IT041,0.1179837029279272,0.201
set28IT042,0.0184557953101682,0.09
set28IT045,-0.4276340014850085,-0.1
set28IT046,-0.1944080838650462,-0.043
set29IT004,0.120484258891157,-0.146
set29IT005,0.1273583037302649,-0.089
set29IT006,-0.1330967702980285,-0.043
set29IT007,-0.3989231288718302,-0.038
set29IT014,-0.2887041789245621,-0.162
set29IT015,-0.6380281500661082,-0.06
set29IT057,0.2721828364981536,-0.01
set29IT058,-0.2367055124886845,-0.042
set100IT008,-0.6529206109459111,0.237
set100IT009,-0.0520784118065839,0.297
set100IT010,-0.4403232766870679,0.092
set100IT011,-0.5271181382178491,0.018
set100IT012,-0.5166172878764161,0.057
set100IT013,-0.4835219050017744,0.012
set100IT014,-0.3995162702256565,-0.033
set100IT015,-0.2702573152490929,0.198
set100IT016,-0.6949094839253502,-0.027
set100IT017,5.577187197633344,0.764
set100IT018,5.875370099699508,0.897
set100IT019,6.014741351068923,0.873
set100IT020,5.278684038178959,0.715
set100IT021,6.098788589627902,0.898
set100IT022,6.015147427320872,0.869
set100IT023,0.2135205507466758,0.027
set100IT024,-0.2245070007229521,-0.058
set100IT025,0.3669512149422113,0.01
set100IT026,-0.0747159732453319,-0.012
set100IT027,0.3220832857313875,0.043
set100IT028,-0.3134509908442574,-0.111
set100IT029,-0.1489496163984004,-0.016
set100IT030,-0.0954359064036377,0.105
set100IT031,-0.0368527395587556,-0.01
set100IT032,-0.3441255212230732,-0.081
set100IT033,-0.4558451298748802,0.111
set100IT034,-0.456431725857075,-0.073
set100IT035,-0.4552737641972879,-0.206
set100IT036,-0.4491636566554703,-0.016
set100IT037,-0.6649378338824727,-0.114
set100IT038,-0.2357806662187262,-0.858
set100IT039,-0.2410240660722359,-0.707
set100IT040,-0.8470757991258078,-0.733
set100IT041,-0.4260440422901077,-0.178
set100IT042,-0.6057248891068627,-0.078
set100IT043,-0.5836640766908947,-0.104
set100IT044,-0.6841752698107254,0.016
set100IT045,-0.8535848897941641,0.083
set100IT046,-0.5761358725424509,-0.068
set101IT007,-0.6053693086869794,0.329
set101IT008,-0.0869987037397764,0.175
set101IT009,-0.3221771244946301,0.173
set101IT013,18.78712281176215,3.822
set101IT014,15.393695138230331,4.004
set101IT015,15.612293195510022,3.373
set101IT016,-0.3393462759121273,0.031
set101IT017,-0.5281052713621209,-0.172
set101IT018,-0.1632333580192675,0.073
set101IT019,7.275361632251233,1.59
set101IT020,6.979204709499936,1.641
set101IT021,6.894057446634273,1.641
set101IT022,8.129740749906738,1.664
set101IT023,8.021674056508589,1.572
set101IT024,7.892320436274338,1.689
set101IT025,9.666633501863576,1.589
set101IT026,7.930461777952472,1.184
set101IT027,8.838308886712985,1.566
set101IT028,6.14723426340494,1.222
set101IT029,4.223080541845726,0.8
set101IT030,5.431057532293443,1.367
set101IT031,14.856754059872936,1.922
set101IT032,12.563477695406418,1.944
set101IT033,10.60196786295092,1.723
set101IT034,13.231217729614578,2.106
set101IT035,9.58320482023411,2.051
set101IT036,9.82004528200924,2.181
set101IT037,-0.2772059056019011,-0.148
set101IT038,0.1426952378116308,0.068
set101IT039,0.1619123765411123,-0.001
set101IT040,0.0228453783689742,-0.109
set101IT041,0.1444117229081328,-0.066
set101IT042,0.4731166802720541,-0.016
set101IT043,1.7130093435271465,0.624
set101IT044,2.1518077508048,0.706
set101IT045,1.3604657368544264,0.577
set101IT046,-0.1084602221249268,-0.081
set101IT047,0.1805993921178462,0.13
set101IT048,0.04079436683311,0.26
