,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),-0.4386602712654775,0.3385788315595501,2.0,0.0,-0.1992488835035018,1.0,-0.6780716590274533,,,,
1,set1__Glucose carbon source (20mM),-0.14007727610014184,0.6662294472865776,2.0,2.0,0.3310180839023627,3.0,-0.6111726361026464,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-1.077948648775517,0.19045992470279188,2.0,4.0,-1.2126241530771404,5.0,-0.9432731444738937,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-1.3056418800883063,0.5344571311347537,2.0,6.0,-0.9277236184094142,7.0,-1.6835601417671986,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.8099594877652498,0.33487947835844367,2.0,8.0,-1.046755037792719,9.0,-0.5731639377377806,,,,
5,set5__D-Glucose carbon source,-0.6340259512521845,0.263924286105549,2.0,10.0,-0.4474032988271323,11.0,-0.8206486036772368,,,,
6,set5__Levulinic Acid carbon source,-0.7996716192450148,0.2670130273837984,4.0,12.0,-1.155728440244988,13.0,-0.6399493380703418,14.0,-0.5560282727260569,15.0,-0.8469804259386727
7,set5__Vanillin carbon source,-1.245019347665664,0.0857428324413531,2.0,16.0,-1.1843900094082414,17.0,-1.3056486859230867,,,,
8,set5__p-Coumaric acid carbon source,-1.0528492397616802,0.21392459713994047,2.0,18.0,-0.901581706461428,19.0,-1.2041167730619324,,,,
9,set6__D-Glucose carbon source,0.0148381303315442,,1.0,20.0,0.0148381303315442,,,,,,
10,set6__Ferulic Acid carbon source,-6.638233146657623,,1.0,21.0,-6.638233146657623,,,,,,
11,set6__benzoic acid carbon source,-0.5472869213804364,,1.0,22.0,-0.5472869213804364,,,,,,
12,set6__Valerolactam carbon source,0.4923205942320166,,1.0,23.0,0.4923205942320166,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.1611790267318159,,1.0,24.0,-0.1611790267318159,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.3187627441146396,,1.0,25.0,-0.3187627441146396,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.2721821817802606,0.5293501515782375,2.0,26.0,-0.6464892635833591,30.0,0.1021249000228379,,,,
16,set7__Valerolactam 10 mM carbon source,-1.1741564403556737,,1.0,27.0,-1.1741564403556737,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.3688157931039181,,1.0,28.0,-0.3688157931039181,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.17525336050249746,0.07327521910669846,2.0,29.0,-0.1234399561792209,31.0,-0.227066764825774,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.028059495468321,,1.0,32.0,0.028059495468321,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.5371302556855557,,1.0,33.0,-0.5371302556855557,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-1.105561791396668,,1.0,34.0,-1.105561791396668,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.064287364432421,0.08567027408729719,2.0,35.0,-0.124865396185659,47.0,-0.003709332679183,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.5336028333085184,0.4762653749130972,2.0,36.0,-0.196832357063114,49.0,-0.8703733095539228,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-1.256496288391715,,1.0,37.0,-1.256496288391715,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.850440822563901,,1.0,38.0,-0.850440822563901,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.0682718845605158,,1.0,39.0,0.0682718845605158,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.1439959939050624,,1.0,40.0,-0.1439959939050624,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.5808905109115455,,1.0,41.0,-0.5808905109115455,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.2847561499242264,,1.0,42.0,-0.2847561499242264,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.8139572904310987,,1.0,43.0,-0.8139572904310987,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.0456010983568153,,1.0,44.0,0.0456010983568153,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.5697421247095755,,1.0,45.0,-0.5697421247095755,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.2699195746401475,,1.0,46.0,-0.2699195746401475,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.0275716304392762,,1.0,48.0,0.0275716304392762,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.0907329210701747,,1.0,50.0,0.0907329210701747,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.3272035137016978,,1.0,51.0,-0.3272035137016978,,,,,,
