,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.044500000000000005,0.1322289680818844,2.0,0.0,-0.049,1.0,0.138,,,,
1,set1__Glucose carbon source (20mM),-0.275,0.3139554108468271,2.0,2.0,-0.053,3.0,-0.497,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.3215,0.0007071067811865482,2.0,4.0,0.321,5.0,0.322,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.40700000000000003,0.35779603128039306,2.0,6.0,0.66,7.0,0.154,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.0695,0.1279863273947651,2.0,8.0,0.16,9.0,-0.021,,,,
5,set5__D-Glucose carbon source,0.099,0.07212489168102784,2.0,10.0,0.048,11.0,0.15,,,,
6,set5__Levulinic Acid carbon source,0.29825,0.26035152518598137,4.0,12.0,0.513,13.0,0.146,14.0,0.01,15.0,0.524
7,set5__Vanillin carbon source,0.186,0.15132085117392116,2.0,16.0,0.079,17.0,0.293,,,,
8,set5__p-Coumaric acid carbon source,-0.09749999999999999,0.3570889244992065,2.0,18.0,-0.35,19.0,0.155,,,,
9,set6__D-Glucose carbon source,0.039,,1.0,20.0,0.039,,,,,,
10,set6__Ferulic Acid carbon source,0.181,,1.0,21.0,0.181,,,,,,
11,set6__benzoic acid carbon source,0.138,,1.0,22.0,0.138,,,,,,
12,set6__Valerolactam carbon source,0.189,,1.0,23.0,0.189,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.142,,1.0,24.0,0.142,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.164,,1.0,25.0,-0.164,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.033,0.015556349186104044,2.0,26.0,-0.022,30.0,-0.044,,,,
16,set7__Valerolactam 10 mM carbon source,-0.101,,1.0,27.0,-0.101,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.295,,1.0,28.0,0.295,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.1605,0.05444722215136417,2.0,29.0,-0.199,31.0,-0.122,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.425,,1.0,32.0,0.425,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.255,,1.0,33.0,0.255,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.096,,1.0,34.0,0.096,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.058499999999999996,0.5168950570473663,2.0,35.0,0.424,47.0,-0.307,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.2925,0.021920310216782955,2.0,36.0,0.277,49.0,0.308,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.043,,1.0,37.0,-0.043,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.846,,1.0,38.0,0.846,,,,,,
