,-0.2765354196050963,-0.23399150889661996,-0.1914475981881436,-0.14890368747966726,-0.1063597767711909,-0.06381586606271455,-0.021271955354238203,0.021271955354238148,0.0638158660627145,0.10635977677119085,0.1489036874796672,0.19144759818814355,0.2339915088966199,0.2765354196050963,0.3190793303135726,0.3616232410220489,0.4041671517305253,0.4467110624390017,0.489254973147478,0.5317988838559543
thresh,-0.2978073749593345,0.2978073749593345,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,17,2416,2264,28,4,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['parB'],[]
