,-0.3140054554672882,-0.26569692385693616,-0.21738839224658413,-0.1690798606362321,-0.12077132902588006,-0.07246279741552802,-0.02415426580517599,0.024154265805176045,0.07246279741552808,0.12077132902588011,0.16907986063623215,0.21738839224658424,0.2656969238569362,0.3140054554672882,0.3623139870776403,0.4106225186879924,0.45893105029834436,0.5072395819086963,0.5555481135190484,0.6038566451294005
thresh,-0.3381597212724642,0.3381597212724642,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,15,2394,2309,11,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['hisA'],[]
