,PP_t10
set1IT078,0.326
set1IT079,1.19
set1IT080,1.173
set1IT081,0.838
set1IT082,0.291
set1IT083,0.224
set1IT084,0.836
set1IT085,0.992
set1IT086,0.78
set1IT087,1.145
set5IT075,0.313
set5IT076,0.446
set5IT081,0.423
set5IT082,0.489
set5IT083,0.248
set5IT084,-0.037
set5IT085,-0.27
set5IT086,0.53
set5IT087,0.222
set5IT088,0.015
set6IT057,-0.123
set6IT059,-0.371
set6IT061,-0.635
set6IT064,-1.424
set6IT065,-0.534
set7IT042,0.715
set7IT044,0.24
set7IT045,0.838
set7IT055,0.61
set7IT056,0.406
set7IT057,0.199
set7IT062,0.446
set8IT058,-0.616
set8IT059,-0.978
set8IT060,-0.346
set8IT062,-0.902
set8IT064,-0.427
set8IT070,0.154
set8IT073,1.485
set8IT080,-0.395
set8IT081,-0.28
set8IT082,-0.231
set8IT084,-0.501
set8IT085,-0.306
set8IT089,-0.044
set8IT090,-0.624
set8IT092,0.074
set8IT093,0.864
set8IT094,0.424
set8IT095,-1.378
set8IT096,0.383
set9IT020,-1.118
set9IT022,0.246
set9IT025,-1.159
set10IT006,-1.234
set10IT008,-0.595
set10IT010,-0.771
set10IT017,-1.171
set10IT018,-0.094
set10IT019,-0.62
set10IT020,-0.891
set10IT021,-0.738
set10IT022,-1.15
set10IT023,-0.797
set10IT024,-0.728
set10IT025,-0.515
set10IT026,-0.297
set10IT027,-0.447
set10IT028,-0.538
set10IT029,-0.099
set10IT031,-0.548
set10IT032,-1.164
set10IT033,-1.226
set10IT034,-0.99
set10IT035,-0.769
set10IT036,-1.004
set10IT037,-0.428
set10IT043,0.021
set10IT044,0.098
set10IT053,-0.167
set12IT001,-0.129
set12IT002,-0.845
set12IT004,-0.401
set12IT007,0.055
set12IT008,-0.776
set12IT009,-0.426
set12IT014,0.061
set12IT015,0.02
set12IT016,-0.665
set12IT017,-0.542
set12IT023,-0.411
set12IT024,-0.039
set12IT025,0.202
set12IT026,-0.753
set12IT027,-0.265
set12IT028,-0.05
set12IT029,-0.064
set12IT031,-0.784
set12IT032,-0.571
set12IT034,-0.046
set12IT037,-0.532
set12IT038,-0.068
set12IT039,0.228
set12IT044,0.027
set12IT046,-0.276
set12IT053,-0.316
set12IT054,-0.526
set12IT055,-0.385
set12IT056,0.127
set12IT057,0.219
set12IT058,-0.329
set12IT059,-0.295
set15IT054,0.255
set15IT057,0.218
set15IT058,0.252
set15IT059,0.347
set15IT060,0.134
set15IT061,0.876
set15IT062,-0.27
set15IT063,1.063
set15IT064,-0.365
set15IT065,-0.285
set15IT066,0.272
set15IT067,0.589
set15IT068,-0.192
set15IT071,-0.118
set15IT072,0.029
set15IT073,0.24
set15IT074,0.127
set15IT075,0.764
set15IT076,-0.015
set15IT077,0.685
set15IT078,-0.488
set15IT079,-0.731
set15IT080,0.361
set15IT081,0.128
set16IT004,-0.259
set16IT005,-0.027
set16IT006,0.232
set16IT007,-0.127
set16IT008,-0.258
set16IT009,0.245
set16IT010,0.446
set16IT011,-0.147
set16IT012,0.111
set16IT013,0.516
set16IT014,0.085
set16IT015,0.237
set27IT004,-0.493
set27IT005,0.202
set27IT006,-0.028
set27IT007,0.094
set27IT008,0.275
set27IT009,0.191
set27IT010,0.196
set27IT011,-0.23
set27IT012,0.141
set27IT013,-0.181
set27IT014,-0.187
set27IT015,0.052
set27IT016,0.269
set27IT017,0.047
set27IT018,0.273
set27IT019,-0.122
set27IT020,-0.221
set27IT021,0.02
set27IT024,-0.657
set27IT025,-0.157
set27IT028,0.682
set27IT029,0.343
set27IT030,-0.263
set27IT031,-0.015
set27IT032,0.33
set27IT033,0.382
set27IT034,-0.184
set27IT035,-0.27
set27IT036,-0.484
set27IT037,-0.12
set27IT038,-0.026
set27IT039,-0.126
set27IT040,0.085
set27IT041,0.334
set27IT042,-0.418
set27IT043,0.399
set27IT044,0.493
set27IT045,-0.466
set27IT046,-0.329
set27IT047,0.481
set27IT048,0.369
set27IT049,0.141
set27IT050,-0.06
set27IT051,0.22
set27IT052,-0.447
set27IT053,0.351
set27IT054,0.025
set27IT055,0.278
set27IT056,0.284
set27IT057,0.051
set27IT058,0.466
set27IT059,-0.005
set27IT060,0.006
set27IT061,-0.591
set27IT062,-0.044
set27IT063,-0.303
set27IT064,-0.444
set27IT065,-0.743
set27IT066,-0.025
set27IT067,-0.042
set27IT068,-0.672
set27IT069,-0.114
set27IT070,0.516
set27IT071,-0.596
set27IT072,-0.464
set27IT073,-0.087
set28IT003,-0.018
set28IT004,-0.109
set28IT005,-0.145
set28IT006,-0.879
set28IT007,-0.52
set28IT008,-0.243
set28IT009,-0.368
set28IT010,0.301
set28IT013,-0.573
set28IT014,-0.009
set28IT017,-0.295
set28IT018,-0.216
set28IT021,0.068
set28IT022,-0.297
set28IT023,0.08
set28IT024,0.056
set28IT027,0.052
set28IT028,0.036
set28IT029,-0.073
set28IT030,-0.112
set28IT031,-0.061
set28IT032,-0.314
set28IT035,-0.154
set28IT036,0.358
set28IT037,-0.465
set28IT038,-0.505
set28IT039,-0.803
set28IT040,-0.52
set28IT041,0.123
set28IT042,-0.444
set28IT045,0.441
set28IT046,-0.031
set29IT004,0.402
set29IT005,-0.189
set29IT006,0.202
set29IT007,-0.157
set29IT014,-0.103
set29IT015,-1.42
set29IT057,0.266
set29IT058,-0.037
set100IT008,0.744
set100IT009,-0.205
set100IT010,0.577
set100IT011,0.386
set100IT012,-0.105
set100IT013,0.243
set100IT014,-0.067
set100IT015,-0.536
set100IT016,-0.172
set100IT017,-0.048
set100IT018,-0.193
set100IT019,0.134
set100IT020,-0.036
set100IT021,-0.145
set100IT022,-0.123
set100IT023,0.116
set100IT024,-0.287
set100IT025,0.556
set100IT026,-0.219
set100IT027,-0.377
set100IT028,-0.083
set100IT029,0.0
set100IT030,-0.466
set100IT031,0.448
set100IT032,0.103
set100IT033,0.089
set100IT034,0.35
set100IT035,-0.246
set100IT036,0.097
set100IT037,0.233
set100IT038,0.745
set100IT039,-1.136
set100IT040,-1.049
set100IT041,0.232
set100IT042,-0.196
set100IT043,0.204
set100IT044,0.031
set100IT045,-0.494
set100IT046,0.462
set101IT007,0.565
set101IT008,0.096
set101IT009,-0.664
set101IT013,-0.571
set101IT014,-0.133
set101IT015,-0.924
set101IT016,0.126
set101IT017,0.158
set101IT018,-0.532
set101IT019,-0.271
set101IT020,0.571
set101IT021,-0.424
set101IT022,0.043
set101IT023,0.395
set101IT024,-0.659
set101IT025,0.397
set101IT026,0.247
set101IT027,-0.132
set101IT028,0.377
set101IT029,0.168
set101IT030,-0.24
set101IT031,0.66
set101IT032,0.416
set101IT033,-0.354
set101IT034,0.218
set101IT035,0.187
set101IT036,-0.186
set101IT037,0.266
set101IT038,0.205
set101IT039,-0.457
set101IT040,-0.029
set101IT041,0.164
set101IT042,-0.096
set101IT043,-0.338
set101IT044,-0.86
set101IT045,-0.068
set101IT046,-0.368
set101IT047,0.054
set101IT048,-0.349
