,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-0.797,,1.0,63.0,-0.797,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-0.728,,1.0,64.0,-0.728,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-0.515,,1.0,65.0,-0.515,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-0.297,,1.0,66.0,-0.297,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-0.447,,1.0,67.0,-0.447,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,-0.538,,1.0,68.0,-0.538,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,-0.099,,1.0,69.0,-0.099,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,-0.548,,1.0,70.0,-0.548,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,-1.164,,1.0,71.0,-1.164,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,-1.226,,1.0,72.0,-1.226,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-0.99,,1.0,73.0,-0.99,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,-0.769,,1.0,74.0,-0.769,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-1.004,,1.0,75.0,-1.004,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,-0.428,,1.0,76.0,-0.428,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,0.021,,1.0,77.0,0.021,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.098,,1.0,78.0,0.098,,,,,,
64,set10__Sodium butyrate carbon source,-0.167,,1.0,79.0,-0.167,,,,,,
65,set12__Vanillin carbon source,-0.4565,0.4631549416771886,2.0,80.0,-0.129,97.0,-0.784,,,,
66,"set12__1,2-Propanediol carbon source",-0.708,0.19374725804511406,2.0,81.0,-0.845,98.0,-0.571,,,,
67,set12__Sodium propionate carbon source,-0.2235,0.25102290732122434,2.0,82.0,-0.401,99.0,-0.046,,,,
68,set12__2-methyl-1-butanol carbon source,-0.23850000000000002,0.4150716805565034,2.0,83.0,0.055,100.0,-0.532,,,,
69,"set12__1,5-Pentanediol carbon source",-0.42200000000000004,0.5006316010800756,2.0,84.0,-0.776,101.0,-0.068,,,,
70,"set12__1,4-Butanediol carbon source",-0.09899999999999999,0.4624478348960021,2.0,85.0,-0.426,102.0,0.228,,,,
71,set12__Vanillic Acid carbon source,0.044,0.024041630560342614,2.0,86.0,0.061,103.0,0.027,,,,
72,set12__Protocatechuic Acid carbon source,-0.261,0.39739401102683974,2.0,87.0,0.02,89.0,-0.542,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-0.47050000000000003,0.275064537881567,2.0,88.0,-0.665,104.0,-0.276,,,,
74,set12__L-Lysine carbon source,-0.3635,0.067175144212722,2.0,90.0,-0.411,105.0,-0.316,,,,
75,set12__p-Coumaric acid carbon source,-0.28250000000000003,0.3443610024378487,2.0,91.0,-0.039,106.0,-0.526,,,,
76,set12__benzoic acid carbon source,-0.0915,0.4150716805565034,2.0,92.0,0.202,107.0,-0.385,,,,
77,set12__Ferulic Acid carbon source,-0.313,0.6222539674441618,2.0,93.0,-0.753,108.0,0.127,,,,
78,set12__D-Glucose carbon source,-0.023000000000000007,0.342239682094289,2.0,94.0,-0.265,109.0,0.219,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.1895,0.19728279195104678,2.0,95.0,-0.05,110.0,-0.329,,,,
