,-0.0946785944018108,-0.0820547818149027,-0.06943096922799459,-0.05680715664108649,-0.04418334405417838,-0.03155953146727028,-0.018935718880362176,-0.006311906293454073,0.006311906293454031,0.018935718880362135,0.03155953146727024,0.044183344054178356,0.056807156641086445,0.06943096922799454,0.08205478181490265,0.09467859440181077,0.10730240698871886,0.11992621957562695,0.13255003216253508,0.14517384474944317
thresh,-0.10099050069526486,0.10099050069526486,2,,,,,,,,,,,,,,,,,
unreg,0,0,1,9,28,75,299,1999,1746,222,54,24,8,0,2,0,2,0,0,0
FleQ,0,0,0,0,2,3,11,113,84,13,1,4,1,0,2,6,12,9,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['fliC' 'fliA'],[],[],[]
FleQ_genes,[],[],[],[],['rfbA' 'PP_0685'],['PP_5693' 'PP_2429' 'PP_1778'],"['PP_4317' 'PP_1979' 'thiI' 'phoQ' 'PP_1864' 'PP_4470' 'PP_1637' 'oprD'
 'nadC' 'znuB' 'oprG']","['PP_1878' 'PP_1151' 'clpS' 'aldB-I' 'PP_2219' 'pfeS-II' 'PP_1651'
 'PP_0352' 'PP_0439' 'mgtE' 'insN' 'ibpA' 'PP_3127' 'oprQ' 'rlmB'
 'PP_4345' 'mcoA' 'PP_3142' 'arcC' 'PP_0599' 'PP_0534' 'ndh' 'algK' 'oprH'
 'PP_3325' 'PP_3326' 'PP_1147' 'PP_4458' 'PP_4459' 'glmP' 'PP_3733'
 'PP_2596' 'PP_5587' 'phnN' 'PP_2220' 'PP_1779' 'PP_5745' 'PP_4881'
 'PP_5631' 'algG' 'PP_2010' 'bcsB' 'ooxB' 'PP_1515' 'tufA' 'PP_2191'
 'PP_0116' 'PP_3011' 'PP_0598' 'PP_4606' 'PP_2590' 'rhtA' 'PP_0788'
 'PP_0153' 'PP_4350' 'PP_2595' 'PP_0267' 'PP_0667' 'PP_1150' 'PP_4335'
 'algX' 'PP_2592' 'PP_2509' 'PP_3612' 'fatD' 'PP_4316' 'yhhJ' 'pfeS-I'
 'bcsG' 'PP_5305' 'PP_2192' 'PP_0180' 'ldhA' 'PP_4608' 'PP_0563' 'PP_1795'
 'PP_3504' 'PP_0159' 'PP_0861' 'clpB' 'PP_4882' 'PP_4393' 'PP_2472'
 'PP_0131' 'PP_5263' 'bcsZ' 'PP_4612' 'PP_2638' 'PP_1794' 'PP_1184'
 'PP_3611' 'algL' 'PP_1729' 'PP_0704' 'PP_2240' 'PP_1978' 'PP_0705'
 'PP_0162' 'PP_4607' 'fatB' 'quiA' 'PP_3126' 'PP_2628' 'PP_1798' 'PP_0168'
 'PP_2593' 'PP_3696' 'rbbA' 'PP_1793' 'PP_1797' 'algI' 'bcsA' 'PP_4755']","['algJ' 'PP_2738' 'algE' 'PP_0546' 'paxB' 'PP_0998' 'PP_5699' 'folEB'
 'PP_3547' 'yfdC' 'arcD-I' 'PP_1207' 'PP_5365' 'PP_0350' 'oprI' 'PP_3700'
 'PP_0863' 'PP_3128' 'PP_2736' 'alg8' 'PP_2193' 'PP_3503' 'PP_4609'
 'PP_2634' 'PP_1792' 'PP_2473' 'PP_4611' 'PP_1006' 'PP_1208' 'PP_4610'
 'PP_1971' 'PP_0862' 'PP_0535' 'PP_3086' 'PP_3789' 'PP_1780' 'PP_2310'
 'PP_0160' 'PP_3085' 'PP_2737' 'algD' 'cpsG' 'PP_1728' 'alg44' 'PP_0564'
 'PP_4057' 'gcdH' 'pbpG' 'PP_3685' 'algA' 'PP_0051' 'PP_3186' 'PP_4961'
 'pet' 'tolC' 'PP_0565' 'PP_1647' 'yhiI' 'PP_4888' 'dusA' 'PP_1788'
 'PP_1790' 'PP_2975' 'PP_1083' 'PP_0166' 'rfbC' 'adhP' 'PP_0351' 'PP_1787'
 'PP_0668' 'arcB' 'evgA' 'PP_4070' 'PP_2633' 'PP_2735' 'PP_1776' 'PP_1786'
 'rnr' 'PP_0703' 'PP_1970' 'algF' 'phoP' 'PP_1096' 'PP_1791']","['trpD' 'arcA' 'tsaA' 'dacB' 'PP_1789' 'gltR-II' 'PP_1013' 'PP_3323'
 'bfr-II' 'PP_4334' 'gacS' 'PP_4333' 'mrcA']",['fleS'],['pcnB' 'PP_4342' 'flhF' 'atoC'],['fliL'],[],['clpA' 'pabA'],['fliS' 'fliM' 'flgL' 'fliD' 'flgD' 'fliH'],"['fliG' 'fliJ' 'fliF' 'fliE' 'flgE' 'fliI' 'flhA' 'flgK' 'PP_4396' 'flgJ'
 'fliK' 'fliR']",['fliQ' 'flgG' 'fliO' 'flgH' 'flgI' 'flgF' 'flgA' 'flgB' 'fliP'],['flhB' 'flgC'],[]
