,A,FleQ
set28IT022,0.6758617328463506,0.584
set28IT023,0.8566029676997892,0.216
set28IT024,0.5220448403360486,0.22
set28IT027,2.890317445676813,0.399
set28IT028,3.093914091436432,0.354
set28IT029,2.220019361071949,0.36
set28IT030,1.7353129844947637,0.344
set28IT031,1.7529577664503595,0.291
set28IT032,0.941361372492714,0.299
set28IT035,1.5774631044222511,0.488
set28IT036,1.7194821731144894,0.498
set28IT037,0.8313036149984474,0.376
set28IT038,1.422502894722492,0.308
set28IT039,1.1881050487667542,0.387
set28IT040,1.7452201433572514,0.366
set28IT041,1.768460015572291,0.263
set28IT042,1.7374122896309103,0.322
set28IT045,0.9163744883687736,0.23
set28IT046,1.0829975233589435,0.388
set29IT004,-1.2334709425002568,2.031
set29IT005,2.506536695035071,1.433
set29IT006,0.1503366612266359,0.487
set29IT007,0.6874423975487535,0.333
set29IT014,-1.609352255546231,1.02
set29IT015,-1.5948457208593931,1.013
set29IT057,0.8443997168692121,0.978
set29IT058,1.6942787808030229,1.071
set100IT008,-0.8500413847778663,1.271
set100IT009,0.9026637079099202,1.396
set100IT010,-0.3945515577772464,1.295
set100IT011,-0.013138915503622,1.226
set100IT012,0.6371201547393776,1.122
set100IT013,0.7729664502671831,1.234
set100IT014,0.5984186064288324,1.441
set100IT015,1.1923103367402168,1.517
set100IT016,0.3847289056816558,1.626
set100IT017,5.53110032293323,3.098
set100IT018,5.13921263537706,2.028
set100IT019,4.26629195230718,2.185
set100IT020,-0.0200804208405588,0.956
set100IT021,1.0916499769933483,1.357
set100IT022,0.3441975850262168,1.401
set100IT023,0.1133843212619519,2.155
set100IT024,2.0101361297202365,2.642
set100IT025,1.7333757352737738,2.356
set100IT026,0.3652699119912239,1.052
set100IT027,0.6020936120887309,0.444
set100IT028,0.3504771458743503,0.449
set100IT029,-0.2460073064790238,1.128
set100IT030,0.6891559982810982,1.299
set100IT031,0.3138046631324137,1.438
set100IT032,0.0243510733984406,1.466
set100IT033,1.2803184388326962,1.978
set100IT034,0.7237150545949347,1.578
set100IT035,0.9731425453768076,1.557
set100IT036,1.9290593330585413,1.681
set100IT037,1.7344465850208255,1.572
set100IT038,1.34772365851057,1.019
set100IT039,1.5481006875691583,1.23
set100IT040,0.4065752550504297,1.662
set100IT041,0.6525959675543398,1.094
set100IT042,1.7831482559796388,1.304
set100IT043,1.950218195132863,1.005
set100IT044,-1.4330894430079473,1.291
set100IT045,-0.6748392707020555,1.476
set100IT046,-0.3169015490676425,1.79
set101IT007,0.8777464285763821,1.313
set101IT008,1.6288061147170876,1.708
set101IT009,1.2733991589340912,0.757
set101IT013,1.819330277151297,0.914
set101IT014,0.5736278796018784,1.807
set101IT015,1.640938678768495,1.262
set101IT016,1.3697508219123231,0.242
set101IT017,1.1591615855501778,0.689
set101IT018,1.478221428976496,1.113
set101IT019,1.5293306958164927,0.963
set101IT020,1.365217793348972,0.861
set101IT021,0.9835884256764296,0.77
set101IT022,1.9276797993623,0.72
set101IT023,1.6568166231624797,1.267
set101IT024,2.003033285135241,1.114
set101IT025,2.8803583332314786,1.098
set101IT026,2.645638263814988,1.387
set101IT027,2.668207642064358,1.322
set101IT028,2.4357108481054124,1.543
set101IT029,3.139590224391084,2.052
set101IT030,2.545121832120464,1.964
set101IT031,1.2215771961213933,0.529
set101IT032,0.8158113488961283,0.709
set101IT033,1.8610308351369735,1.407
set101IT034,1.5845411710537745,1.071
set101IT035,1.811950952618811,0.886
set101IT036,2.056269822799724,0.848
set101IT037,1.933375225191622,1.167
set101IT038,2.12110570629844,1.294
set101IT039,1.9556078011893685,0.944
set101IT040,2.3057657348122564,0.99
set101IT041,1.146786856886608,0.706
set101IT042,1.7674246272501497,0.68
set101IT043,1.6079932046866268,0.835
set101IT044,1.0960916142389685,0.942
set101IT045,1.151237762848076,0.782
set101IT046,0.4414112495215734,1.644
set101IT047,1.3818034845829033,1.004
set101IT048,1.6440578634163778,1.31
